time,survival,arm
0.174503,0.909363,treatment
0.174906,0.909363,treatment
0.175309,0.947322,treatment
0.175713,0.947322,treatment
0.176116,0.948376,treatment
0.176519,0.947322,treatment
0.176922,0.947322,treatment
0.177325,0.947322,treatment
0.177728,0.947322,treatment
0.178131,0.948376,treatment
0.178534,0.947322,treatment
0.178937,0.947322,treatment
0.17934,0.947322,treatment
0.179743,0.947322,treatment
0.180146,0.948376,treatment
0.18055,0.947322,treatment
0.180953,0.947322,treatment
0.181356,0.947322,treatment
0.181759,0.947322,treatment
0.182162,0.947322,treatment
0.182565,0.947322,treatment
0.182968,0.947322,treatment
0.183371,0.947322,treatment
0.183774,0.947322,treatment
0.184177,0.947322,treatment
0.18458,0.947322,treatment
0.184983,0.947322,treatment
0.185387,0.947322,treatment
0.18579,0.947322,treatment
0.186193,0.947322,treatment
0.186596,0.947322,treatment
0.186999,0.947322,treatment
0.187402,0.947322,treatment
0.187805,0.947322,treatment
0.188208,0.947322,treatment
0.188611,0.948376,treatment
0.189014,0.947322,treatment
0.189417,0.947322,treatment
0.189821,0.947322,treatment
0.190224,0.947322,treatment
0.190627,0.948376,treatment
0.19103,0.947322,treatment
0.191433,0.947322,treatment
0.191836,0.947322,treatment
0.192239,0.947322,treatment
0.192642,0.947322,treatment
0.193045,0.948376,treatment
0.193448,0.947322,treatment
0.193851,0.947322,treatment
0.194254,0.947322,treatment
0.194658,0.947322,treatment
0.195061,0.948376,treatment
0.195464,0.947322,treatment
0.195867,0.947322,treatment
0.19627,0.947322,treatment
0.196673,0.947322,treatment
0.197076,0.948376,treatment
0.197479,0.947322,treatment
0.197882,0.947322,treatment
0.198285,0.947322,treatment
0.198688,0.947322,treatment
0.199091,0.947322,treatment
0.199495,0.947322,treatment
0.199898,0.947322,treatment
0.200301,0.947322,treatment
0.200704,0.92887,treatment
0.201107,0.92887,treatment
0.20151,0.948376,treatment
0.201913,0.947322,treatment
0.202316,0.947322,treatment
0.202719,0.947322,treatment
0.203122,0.947322,treatment
0.203525,0.948376,treatment
0.203928,0.92887,treatment
0.204332,0.92887,treatment
0.204735,0.947322,treatment
0.205138,0.947322,treatment
0.205541,0.948376,treatment
0.205944,0.947322,treatment
0.206347,0.947322,treatment
0.20675,0.947322,treatment
0.207153,0.947322,treatment
0.207556,0.948376,treatment
0.207959,0.947322,treatment
0.208362,0.947322,treatment
0.208765,0.947322,treatment
0.209169,0.92887,treatment
0.209572,0.92887,treatment
0.209975,0.948376,treatment
0.210378,0.947322,treatment
0.210781,0.947322,treatment
0.211184,0.947322,treatment
0.211587,0.947322,treatment
0.21199,0.948376,treatment
0.212393,0.947322,treatment
