time,survival,arm
0.0,0.744742,treatment
0.001632,0.744742,treatment
0.003405,0.744742,treatment
0.005178,0.744742,treatment
0.006952,0.746871,treatment
0.008725,0.742614,treatment
0.010499,0.742614,treatment
0.012272,0.740485,treatment
0.014046,0.742614,treatment
0.015819,0.740485,treatment
0.017593,0.740485,treatment
0.019366,0.744742,treatment
0.02114,0.742614,treatment
0.022913,0.744742,treatment
0.024687,0.740485,treatment
0.02646,0.738357,treatment
0.028233,0.736228,treatment
0.030007,0.736228,treatment
0.03178,0.736228,treatment
0.033554,0.7341,treatment
0.035327,0.7341,treatment
0.037101,0.7341,treatment
0.038874,0.7341,treatment
0.040648,0.731971,treatment
0.042421,0.729842,treatment
0.044195,0.729842,treatment
0.045968,0.727714,treatment
0.047742,0.729842,treatment
0.049515,0.731971,treatment
0.051288,0.727714,treatment
0.053062,0.727714,treatment
0.054835,0.727714,treatment
0.056609,0.727714,treatment
0.058382,0.731971,treatment
0.060156,0.729842,treatment
0.061929,0.731971,treatment
0.063703,0.731971,treatment
0.065476,0.731971,treatment
0.06725,0.731971,treatment
0.069023,0.731971,treatment
0.070796,0.7341,treatment
0.07257,0.7341,treatment
0.074343,0.7341,treatment
0.076117,0.738357,treatment
0.07789,0.7341,treatment
0.079664,0.7341,treatment
0.081437,0.727714,treatment
0.083211,0.727714,treatment
0.084984,0.727714,treatment
0.086758,0.731971,treatment
0.088531,0.731971,treatment
0.090305,0.729842,treatment
0.092078,0.729842,treatment
0.093851,0.729842,treatment
0.095625,0.731971,treatment
0.097398,0.731971,treatment
0.099172,0.723457,treatment
0.100945,0.723457,treatment
0.102719,0.723457,treatment
0.104492,0.723457,treatment
0.106266,0.725585,treatment
0.108039,0.721328,treatment
0.109813,0.723457,treatment
0.111586,0.723457,treatment
0.113359,0.727714,treatment
0.115133,0.723457,treatment
0.116906,0.723457,treatment
0.11868,0.723457,treatment
0.120453,0.723457,treatment
0.122227,0.723457,treatment
0.124,0.721328,treatment
0.125774,0.721328,treatment
0.127547,0.725585,treatment
0.129321,0.723457,treatment
0.131094,0.723457,treatment
0.132868,0.723457,treatment
0.134641,0.723457,treatment
0.136414,0.723457,treatment
0.138188,0.725585,treatment
0.139961,0.725585,treatment
0.141735,0.729842,treatment
0.143508,0.729842,treatment
0.145282,0.725585,treatment
0.147055,0.729842,treatment
0.148829,0.727714,treatment
0.150602,0.727714,treatment
0.152376,0.725585,treatment
0.154149,0.725585,treatment
0.155922,0.725585,treatment
0.157696,0.725585,treatment
0.159469,0.725585,treatment
0.161243,0.725585,treatment
0.163016,0.723457,treatment
0.16479,0.723457,treatment
0.166563,0.723457,treatment
0.168337,0.723457,treatment
0.17011,0.723457,treatment
0.171884,0.723457,treatment
0.173657,0.721328,treatment
0.175431,0.721328,treatment
0.177204,0.723457,treatment
0.178977,0.717071,treatment
0.180751,0.717071,treatment
0.182524,0.717071,treatment
0.184298,0.717071,treatment
0.186071,0.717071,treatment
0.187845,0.714943,treatment
0.189618,0.714943,treatment
0.191392,0.502086,treatment
0.193165,0.714943,treatment
0.194939,0.712814,treatment
0.196712,0.714943,treatment
0.198485,0.714943,treatment
0.200259,0.717071,treatment
0.202032,0.717071,treatment
0.203806,0.717071,treatment
0.205579,0.717071,treatment
0.207353,0.717071,treatment
0.209126,0.714943,treatment
0.2109,0.714943,treatment
0.212673,0.459515,treatment
0.214447,0.459515,treatment
0.21622,0.19983,treatment
0.217994,0.19983,treatment
0.219767,0.19983,treatment
0.22154,0.19983,treatment
0.223314,0.197701,treatment
0.225087,0.197701,treatment
0.226861,0.193444,treatment
0.228634,0.193444,treatment
0.230408,0.191315,treatment
0.232181,0.189187,treatment
