time,survival,arm
0.083504,0.853696,treatment
0.083789,0.852957,treatment
0.084074,0.678504,treatment
0.084359,0.675547,treatment
0.084644,0.610497,treatment
0.084929,0.605322,treatment
0.085214,0.603844,treatment
0.085499,0.604583,treatment
0.085784,0.316292,treatment
0.086069,0.258634,treatment
0.086354,0.258634,treatment
0.086639,0.257895,treatment
0.086925,0.669633,treatment
0.08721,0.637847,treatment
0.087495,0.606801,treatment
0.08778,0.604583,treatment
0.088065,0.443436,treatment
0.08835,0.444914,treatment
0.088635,0.603105,treatment
0.08892,0.612714,treatment
0.089205,0.612714,treatment
0.08949,0.611975,treatment
0.089775,0.612714,treatment
0.09006,0.613454,treatment
0.090345,0.595713,treatment
0.09063,0.853696,treatment
0.090916,0.85,treatment
0.091201,0.851478,treatment
0.091486,0.850739,treatment
0.091771,0.671112,treatment
0.092056,0.671112,treatment
0.092341,0.671112,treatment
0.092626,0.671112,treatment
0.092911,0.604583,treatment
0.093196,0.789385,treatment
0.093481,0.789385,treatment
0.093766,0.601626,treatment
0.094051,0.596452,treatment
0.094336,0.447871,treatment
0.094622,0.438261,treatment
0.094907,0.25272,treatment
0.095192,0.249763,treatment
0.095477,0.253459,treatment
0.095762,0.627499,treatment
0.096047,0.660763,treatment
0.096332,0.671112,treatment
0.096617,0.914311,treatment
0.096902,0.857392,treatment
0.097187,0.801212,treatment
0.097472,0.608279,treatment
0.097757,0.606062,treatment
0.098042,0.249024,treatment
0.098327,0.249763,treatment
0.098613,0.25272,treatment
0.098898,0.251242,treatment
0.099183,0.659284,treatment
0.099468,0.661502,treatment
0.099753,0.665198,treatment
0.100038,0.674069,treatment
0.100323,0.610497,treatment
0.100608,0.611975,treatment
0.100893,0.611975,treatment
0.101178,0.600887,treatment
0.101463,0.446393,treatment
0.101748,0.442697,treatment
0.102033,0.255677,treatment
0.102319,0.256416,treatment
0.102604,0.246067,treatment
0.102889,0.249024,treatment
0.103174,0.240154,treatment
0.103459,0.506268,treatment
0.103744,0.917268,treatment
0.104029,0.79382,treatment
0.104314,0.790124,treatment
0.104599,0.790863,treatment
0.104884,0.596452,treatment
0.105169,0.451567,treatment
0.105454,0.447871,treatment
0.105739,0.441957,treatment
0.106024,0.373211,treatment
0.10631,0.373211,treatment
0.106595,0.373211,treatment
0.10688,0.371733,treatment
0.107165,0.668155,treatment
0.10745,0.668155,treatment
0.107735,0.673329,treatment
0.10802,0.669633,treatment
0.108305,0.609758,treatment
0.10859,0.526966,treatment
0.108875,0.25272,treatment
0.10916,0.244589,treatment
0.109445,0.24385,treatment
0.10973,0.244589,treatment
0.110015,0.240154,treatment
0.110301,0.929095,treatment
0.110586,0.929095,treatment
0.110871,0.603844,treatment
0.111156,0.604583,treatment
0.111441,0.698462,treatment
0.111726,0.698462,treatment
0.112011,0.920225,treatment
0.112296,0.918007,treatment
0.112581,0.449349,treatment
0.112866,0.446393,treatment
0.113151,0.446393,treatment
0.113436,0.445653,treatment
0.113721,0.445653,treatment
0.114007,0.609758,treatment
0.114577,0.936487,treatment
0.114862,0.918007,treatment
0.115147,0.855914,treatment
0.115432,0.793081,treatment
0.115717,0.600887,treatment
0.116002,0.524009,treatment
0.116287,0.450089,treatment
0.116572,0.449349,treatment
0.116857,0.662241,treatment
0.117142,0.316292,treatment
0.117427,0.372472,treatment
0.117712,0.595713,treatment
0.117998,0.524009,treatment
0.118283,0.596452,treatment
0.118568,0.608279,treatment
0.118853,0.609018,treatment
0.119138,0.799734,treatment
0.119423,0.799734,treatment
0.119708,0.799734,treatment
0.119993,0.920964,treatment
0.120278,0.671112,treatment
0.120563,0.446393,treatment
0.120848,0.450089,treatment
0.121133,0.459698,treatment
0.121418,0.66298,treatment
0.121703,0.665198,treatment
0.121989,0.664459,treatment
0.122274,0.662241,treatment
0.122559,0.600887,treatment
0.122844,0.249763,treatment
0.123129,0.249763,treatment
0.123414,0.249763,treatment
0.123699,0.251981,treatment
0.123984,0.914311,treatment
0.124269,0.914311,treatment
0.124554,0.706594,treatment
0.124839,0.706594,treatment
0.125124,0.801212,treatment
0.125409,0.609018,treatment
0.125695,0.605322,treatment
0.12598,0.604583,treatment
0.126265,0.602365,treatment
0.12655,0.437522,treatment
0.126835,0.437522,treatment
0.127975,0.666677,treatment
0.12826,0.919486,treatment
0.128545,0.793081,treatment
0.12883,0.790124,treatment
0.129115,0.790124,treatment
0.1294,0.600887,treatment
0.129686,0.45822,treatment
0.129971,0.455263,treatment
0.130256,0.455263,treatment
0.130541,0.454524,treatment
0.130826,0.453046,treatment
0.131111,0.451567,treatment
0.131396,0.449349,treatment
0.131681,0.595713,treatment
0.131966,0.669633,treatment
0.132251,0.669633,treatment
0.132536,0.609758,treatment
0.132821,0.608279,treatment
0.133106,0.440479,treatment
0.133391,0.436783,treatment
0.133677,0.254199,treatment
0.133962,0.25272,treatment
0.134247,0.251242,treatment
0.134817,0.665198,treatment
0.135102,0.664459,treatment
0.135387,0.66372,treatment
0.135672,0.664459,treatment
0.135957,0.600148,treatment
0.136242,0.373211,treatment
0.136527,0.373211,treatment
0.136812,0.314814,treatment
0.137097,0.257895,treatment
0.137383,0.786428,treatment
0.137668,0.484092,treatment
0.137953,0.595713,treatment
0.138238,0.444914,treatment
0.138523,0.444914,treatment
0.138808,0.444914,treatment
0.139093,0.443436,treatment
0.139378,0.606062,treatment
0.139663,0.60754,treatment
0.139948,0.92466,treatment
0.140233,0.923921,treatment
0.140518,0.921703,treatment
