time,survival,arm
0.0,0.771851,treatment
0.000606,0.771851,treatment
0.001264,0.771851,treatment
0.001922,0.787514,treatment
0.002581,0.788633,treatment
0.003239,0.788633,treatment
0.003898,0.788633,treatment
0.004556,0.787514,treatment
0.005214,0.785276,treatment
0.007848,0.564869,treatment
0.008506,0.780801,treatment
0.009165,0.780801,treatment
0.009823,0.783039,treatment
0.010481,0.783039,treatment
0.01114,0.783039,treatment
0.011798,0.783039,treatment
0.012457,0.779682,treatment
0.013115,0.775207,treatment
0.013773,0.774088,treatment
0.014432,0.772969,treatment
0.01509,0.770732,treatment
0.015749,0.596196,treatment
0.016407,0.771851,treatment
0.017065,0.771851,treatment
0.017724,0.595077,treatment
0.018382,0.591721,treatment
0.01904,0.588364,treatment
0.019699,0.583889,treatment
0.020357,0.579414,treatment
0.021016,0.577176,treatment
0.021674,0.57382,treatment
0.022332,0.570463,treatment
0.022991,0.572701,treatment
0.023649,0.778563,treatment
0.024308,0.778563,treatment
0.024966,0.780801,treatment
0.025624,0.780801,treatment
0.026283,0.783039,treatment
0.026941,0.783039,treatment
0.027599,0.793108,treatment
0.029575,0.585008,treatment
0.030233,0.583889,treatment
0.030891,0.581651,treatment
0.03155,0.580533,treatment
0.032208,0.777445,treatment
0.032867,0.777445,treatment
0.033525,0.777445,treatment
0.034183,0.778563,treatment
0.034842,0.779682,treatment
0.0355,0.780801,treatment
0.036158,0.780801,treatment
0.040109,0.783039,treatment
0.040767,0.783039,treatment
0.041426,0.783039,treatment
0.042084,0.783039,treatment
0.042742,0.783039,treatment
0.043401,0.783039,treatment
0.044059,0.779682,treatment
0.044717,0.282927,treatment
0.045376,0.567107,treatment
0.046034,0.567107,treatment
0.046693,0.568226,treatment
0.047351,0.564869,treatment
0.048009,0.422779,treatment
0.048668,0.779682,treatment
0.049326,0.779682,treatment
0.049985,0.779682,treatment
0.050643,0.779682,treatment
0.051301,0.779682,treatment
0.05196,0.778563,treatment
0.052618,0.578295,treatment
0.053276,0.281808,treatment
0.053935,0.281808,treatment
0.054593,0.281808,treatment
0.055252,0.271739,treatment
0.05591,0.18559,treatment
0.056568,0.18559,treatment
0.057227,0.779682,treatment
0.057885,0.779682,treatment
0.058544,0.783039,treatment
0.059202,0.78192,treatment
0.05986,0.780801,treatment
0.060519,0.778563,treatment
0.061177,0.578295,treatment
0.061835,0.565988,treatment
0.062494,0.562631,treatment
0.063152,0.496621,treatment
0.063811,0.288521,treatment
0.064469,0.288521,treatment
0.065127,0.488789,treatment
0.065786,0.489908,treatment
0.066444,0.488789,treatment
0.067103,0.785276,treatment
0.067761,0.785276,treatment
0.068419,0.785276,treatment
0.069078,0.785276,treatment
0.069736,0.78192,treatment
0.070394,0.589483,treatment
0.071053,0.581651,treatment
0.071711,0.301947,treatment
0.07237,0.303066,treatment
