time,survival,arm
0.0,0.836131,treatment
0.0,0.836131,treatment
0.0,0.930456,treatment
0.0,0.920863,treatment
0.0,0.916867,treatment
0.0,0.916867,treatment
0.0,0.902478,treatment
0.0,0.868106,treatment
0.0,0.868106,treatment
0.0,0.836131,treatment
0.0,0.83693,treatment
0.0,0.836131,treatment
0.0,0.836131,treatment
0.0,0.802558,treatment
0.0,0.793765,treatment
0.0,0.735412,treatment
0.0,0.582734,treatment
0.0,0.665068,treatment
0.0,0.735412,treatment
0.0,0.665867,treatment
0.0,0.629097,treatment
0.0,0.735412,treatment
0.0,0.852918,treatment
0.0,0.852918,treatment
0.005655,0.219824,treatment
0.006126,0.219824,treatment
0.006598,0.219824,treatment
0.007069,0.16227,treatment
0.00754,0.16227,treatment
0.008011,0.161471,treatment
0.008483,0.160671,treatment
0.008954,0.0,treatment
0.009425,0.0,treatment
0.009896,0.0,treatment
0.010368,0.157474,treatment
0.010839,0.156675,treatment
0.01131,0.156675,treatment
0.011781,0.156675,treatment
0.012253,0.156675,treatment
0.012724,0.219824,treatment
0.013195,0.219824,treatment
0.013666,0.219824,treatment
0.014138,0.191047,treatment
0.014609,0.161471,treatment
0.01508,0.161471,treatment
0.015551,0.158273,treatment
0.016023,0.155875,treatment
0.016494,0.154277,treatment
0.016965,0.0,treatment
0.017436,0.151878,treatment
0.017908,0.161471,treatment
0.018379,0.084732,treatment
0.01885,0.348521,treatment
0.019321,0.348521,treatment
0.019793,0.242206,treatment
0.020264,0.242206,treatment
0.020735,0.241407,treatment
0.021206,0.348521,treatment
0.021678,0.348521,treatment
0.022149,0.410072,treatment
0.02262,0.410072,treatment
0.023091,0.243006,treatment
0.023563,0.243006,treatment
0.024034,0.219025,treatment
0.024505,0.220624,treatment
0.024976,0.220624,treatment
0.025448,0.242206,treatment
0.025919,0.410072,treatment
0.02639,0.410072,treatment
0.026861,0.410072,treatment
0.027333,0.410072,treatment
0.027804,0.219824,treatment
0.028275,0.161471,treatment
0.028746,0.161471,treatment
0.029218,0.242206,treatment
0.029689,0.410072,treatment
0.03016,0.410072,treatment
0.030631,0.410072,treatment
0.031103,0.348521,treatment
0.031574,0.348521,treatment
0.032045,0.243006,treatment
0.032516,0.191047,treatment
0.032988,0.219025,treatment
0.033459,0.219824,treatment
0.03393,0.348521,treatment
0.034402,0.348521,treatment
0.034873,0.348521,treatment
0.035344,0.348521,treatment
0.035815,0.242206,treatment
0.036287,0.220624,treatment
0.036758,0.219824,treatment
0.037229,0.219824,treatment
0.0377,0.241407,treatment
0.038172,0.242206,treatment
0.038643,0.348521,treatment
0.039114,0.348521,treatment
0.039585,0.348521,treatment
0.040057,0.410072,treatment
0.040528,0.243006,treatment
0.040999,0.167066,treatment
0.04147,0.167066,treatment
0.041942,0.167066,treatment
0.042413,0.410072,treatment
0.042884,0.410072,treatment
0.043355,0.410072,treatment
0.043827,0.410072,treatment
0.044298,0.295763,treatment
0.044769,0.295763,treatment
0.04524,0.295763,treatment
0.045712,0.410072,treatment
0.046183,0.410072,treatment
0.046654,0.410072,treatment
0.047125,0.410072,treatment
0.047597,0.410072,treatment
0.048068,0.348521,treatment
0.048539,0.220624,treatment
0.04901,0.220624,treatment
0.049482,0.231015,treatment
0.049953,0.410072,treatment
0.050424,0.410072,treatment
0.050895,0.410072,treatment
0.051367,0.410072,treatment
0.051838,0.410072,treatment
0.052309,0.219824,treatment
0.05278,0.231015,treatment
0.053252,0.231015,treatment
0.053723,0.410072,treatment
0.054194,0.410072,treatment
0.054665,0.348521,treatment
0.055137,0.348521,treatment
0.055608,0.348521,treatment
0.056079,0.410072,treatment
0.05655,0.348521,treatment
0.057022,0.242206,treatment
0.057493,0.220624,treatment
0.057964,0.154277,treatment
0.058435,0.151878,treatment
0.058907,0.051159,treatment
0.059378,0.242206,treatment
0.059849,0.410072,treatment
0.06032,0.410072,treatment
0.060792,0.410072,treatment
0.061263,0.295763,treatment
0.061734,0.167066,treatment
0.062205,0.167066,treatment
0.062677,0.165468,treatment
0.063148,0.164668,treatment
0.063619,0.348521,treatment
0.06409,0.348521,treatment
0.064562,0.410072,treatment
0.065033,0.410072,treatment
0.065504,0.410072,treatment
0.065975,0.410072,treatment
0.066447,0.196643,treatment
0.066918,0.196643,treatment
0.067389,0.196643,treatment
0.067861,0.243006,treatment
0.068332,0.348521,treatment
0.068803,0.348521,treatment
0.069274,0.295763,treatment
0.069746,0.189448,treatment
0.070217,0.188649,treatment
0.070688,0.189448,treatment
0.071159,0.193445,treatment
0.071631,0.194245,treatment
0.072102,0.195044,treatment
0.072573,0.242206,treatment
0.073044,0.272582,treatment
0.073516,0.302958,treatment
0.073987,0.302958,treatment
0.074458,0.243006,treatment
0.074929,0.242206,treatment
0.075401,0.241407,treatment
0.075872,0.243006,treatment
0.076343,0.348521,treatment
0.076814,0.410072,treatment
0.077286,0.295763,treatment
0.077757,0.243006,treatment
0.078228,0.242206,treatment
0.078699,0.191047,treatment
0.079171,0.191047,treatment
0.079642,0.190248,treatment
0.080113,0.188649,treatment
0.080584,0.242206,treatment
0.081056,0.302158,treatment
0.081527,0.302158,treatment
0.081998,0.302958,treatment
0.082469,0.206235,treatment
0.082941,0.219824,treatment
0.083412,0.219824,treatment
0.083883,0.243006,treatment
0.084354,0.348521,treatment
0.084826,0.159872,treatment
0.085297,0.161471,treatment
0.085768,0.176659,treatment
0.086239,0.242206,treatment
0.086711,0.347722,treatment
0.087182,0.191847,treatment
0.087653,0.191847,treatment
0.088124,0.204636,treatment
0.088596,0.295763,treatment
0.089067,0.243006,treatment
0.089538,0.231015,treatment
0.090009,0.243006,treatment
0.090481,0.241407,treatment
0.090952,0.188649,treatment
0.091423,0.205436,treatment
0.091894,0.461231,treatment
0.092366,0.470823,treatment
0.092837,0.468425,treatment
0.093308,0.580336,treatment
0.093779,0.585132,treatment
0.094251,0.586731,treatment
0.094722,0.589129,treatment
0.095193,0.409273,treatment
0.095664,0.208633,treatment
0.096136,0.219824,treatment
0.096607,0.198241,treatment
0.097078,0.410072,treatment
0.097549,0.410072,treatment
0.098021,0.348521,treatment
0.098492,0.348521,treatment
0.098963,0.242206,treatment
0.099434,0.243006,treatment
0.099906,0.348521,treatment
0.100377,0.471623,treatment
0.100848,0.471623,treatment
0.10132,0.505995,treatment
0.101791,0.379696,treatment
0.102262,0.441247,treatment
0.102733,0.470823,treatment
0.103205,0.379696,treatment
0.103676,0.379696,treatment
0.104147,0.242206,treatment
0.104618,0.243006,treatment
0.10509,0.347722,treatment
0.105561,0.410871,treatment
0.106032,0.471623,treatment
0.106503,0.441247,treatment
0.106975,0.577938,treatment
0.107446,0.242206,treatment
0.107917,0.231015,treatment
0.108388,0.220624,treatment
0.10886,0.220624,treatment
0.109331,0.52518,treatment
0.109802,0.52518,treatment
0.110273,0.577938,treatment
0.110745,0.577938,treatment
0.111216,0.578737,treatment
0.111687,0.409273,treatment
0.112158,0.219824,treatment
0.11263,0.191047,treatment
0.113101,0.188649,treatment
0.113572,0.231015,treatment
0.114043,0.441247,treatment
0.114515,0.441247,treatment
0.114986,0.410072,treatment
0.115457,0.410072,treatment
0.115928,0.191047,treatment
0.1164,0.191047,treatment
0.116871,0.190248,treatment
0.117342,0.204636,treatment
0.117813,0.441247,treatment
0.118285,0.441247,treatment
0.118756,0.510791,treatment
0.119227,0.510791,treatment
0.119698,0.503597,treatment
0.12017,0.242206,treatment
0.120641,0.219824,treatment
0.121112,0.208633,treatment
0.121583,0.379696,treatment
0.122055,0.379696,treatment
0.122526,0.441247,treatment
0.122997,0.410072,treatment
0.123468,0.410871,treatment
0.12394,0.410072,treatment
0.124411,0.410072,treatment
0.124882,0.349321,treatment
0.125353,0.347722,treatment
0.125825,0.243006,treatment
0.126296,0.348521,treatment
0.126767,0.349321,treatment
0.127238,0.410072,treatment
0.12771,0.52518,treatment
0.128181,0.470823,treatment
0.128652,0.501199,treatment
0.129123,0.409273,treatment
0.129595,0.441247,treatment
0.130066,0.409273,treatment
0.130537,0.409273,treatment
0.131008,0.349321,treatment
0.13148,0.611511,treatment
0.131951,0.611511,treatment
0.132422,0.644285,treatment
0.132893,0.294165,treatment
0.133365,0.293365,treatment
0.133836,0.293365,treatment
0.134307,0.243006,treatment
0.134779,0.242206,treatment
0.13525,0.242206,treatment
0.135721,0.348521,treatment
0.136192,0.509193,treatment
0.136664,0.509193,treatment
0.137135,0.472422,treatment
0.137606,0.347722,treatment
0.138077,0.243006,treatment
0.138549,0.242206,treatment
0.13902,0.192646,treatment
0.139491,0.219824,treatment
0.139962,0.242206,treatment
0.140434,0.577938,treatment
0.140905,0.577938,treatment
0.141376,0.472422,treatment
0.141847,0.501199,treatment
0.142319,0.410871,treatment
0.14279,0.349321,treatment
0.143261,0.243006,treatment
0.143732,0.196643,treatment
0.144204,0.410871,treatment
0.144675,0.441247,treatment
0.145146,0.710631,treatment
0.145617,0.710631,treatment
0.146089,0.441247,treatment
0.14656,0.410072,treatment
0.147031,0.219824,treatment
0.147502,0.189448,treatment
0.147974,0.220624,treatment
0.148445,0.243006,treatment
0.148916,0.577138,treatment
0.149387,0.472422,treatment
0.149859,0.410871,treatment
0.15033,0.441247,treatment
0.150801,0.231015,treatment
0.151272,0.231015,treatment
0.151744,0.295763,treatment
0.152215,0.242206,treatment
0.152686,0.441247,treatment
0.153157,0.472422,treatment
0.153629,0.472422,treatment
0.1541,0.577138,treatment
0.154571,0.471623,treatment
0.155042,0.410072,treatment
0.155514,0.231015,treatment
0.155985,0.219025,treatment
0.156456,0.220624,treatment
0.156927,0.349321,treatment
0.157399,0.578737,treatment
0.15787,0.578737,treatment
0.158341,0.471623,treatment
0.158812,0.441247,treatment
0.159284,0.441247,treatment
0.159755,0.410871,treatment
0.160226,0.192646,treatment
0.160697,0.191847,treatment
0.161169,0.243006,treatment
0.16164,0.409273,treatment
0.162111,0.643485,treatment
0.162582,0.643485,treatment
0.163054,0.410072,treatment
0.163525,0.410072,treatment
0.163996,0.441247,treatment
0.164467,0.243006,treatment
0.164939,0.243006,treatment
0.16541,0.410072,treatment
0.165881,0.52518,treatment
0.166352,0.525979,treatment
0.166824,0.525979,treatment
0.167295,0.348521,treatment
0.167766,0.359712,treatment
0.168238,0.359712,treatment
0.168709,0.359712,treatment
0.16918,0.385292,treatment
0.169651,0.689049,treatment
0.170123,0.661871,treatment
0.170594,0.661871,treatment
0.171065,0.661871,treatment
0.171536,0.384492,treatment
0.172008,0.355715,treatment
0.172479,0.354117,treatment
0.17295,0.356515,treatment
0.173421,0.361311,treatment
0.173893,0.506795,treatment
0.174364,0.511591,treatment
0.174835,0.514788,treatment
0.175306,0.645084,treatment
0.175778,0.295763,treatment
0.176249,0.242206,treatment
0.17672,0.243006,treatment
0.177191,0.408473,treatment
0.177663,0.378897,treatment
0.178134,0.347722,treatment
0.178605,0.243006,treatment
0.179076,0.444444,treatment
0.179548,0.677858,treatment
0.180019,0.645084,treatment
0.18049,0.348521,treatment
0.180961,0.378897,treatment
0.181433,0.220624,treatment
0.181904,0.349321,treatment
0.182375,0.347722,treatment
0.182846,0.348521,treatment
0.183318,0.643485,treatment
0.183789,0.443645,treatment
0.18426,0.349321,treatment
0.184731,0.349321,treatment
0.185203,0.348521,treatment
0.185674,0.349321,treatment
0.186145,0.219025,treatment
0.186616,0.349321,treatment
0.187088,0.443645,treatment
0.187559,0.588329,treatment
0.18803,0.645084,treatment
0.188501,0.349321,treatment
0.188973,0.243006,treatment
0.189444,0.243006,treatment
0.189915,0.426859,treatment
0.190386,0.465228,treatment
0.190858,0.463629,treatment
0.191329,0.544365,treatment
0.1918,0.645084,treatment
0.192271,0.710631,treatment
0.192743,0.742606,treatment
0.193214,0.426859,treatment
0.193685,0.426859,treatment
0.194156,0.444444,treatment
0.194628,0.396483,treatment
0.195099,0.396483,treatment
0.19557,0.396483,treatment
0.196041,0.219025,treatment
0.196513,0.220624,treatment
0.196984,0.242206,treatment
0.197455,0.243006,treatment
0.197926,0.523581,treatment
0.198398,0.643485,treatment
0.198869,0.488409,treatment
0.19934,0.727418,treatment
0.199811,0.709832,treatment
0.200283,0.677858,treatment
0.200754,0.644285,treatment
0.201225,0.410072,treatment
0.201697,0.426859,treatment
0.202168,0.443645,treatment
0.202639,0.481215,treatment
0.20311,0.460432,treatment
0.203582,0.460432,treatment
0.204053,0.644285,treatment
0.204524,0.48761,treatment
0.204995,0.488409,treatment
0.205467,0.466027,treatment
0.205938,0.645084,treatment
0.206409,0.645084,treatment
0.20688,0.645084,treatment
0.207352,0.645084,treatment
0.207823,0.645084,treatment
0.208294,0.410072,treatment
0.208765,0.349321,treatment
0.209237,0.409273,treatment
0.209708,0.444444,treatment
0.210179,0.709832,treatment
0.21065,0.444444,treatment
0.211122,0.444444,treatment
0.211593,0.442846,treatment
0.212064,0.410072,treatment
0.212535,0.410072,treatment
0.213007,0.242206,treatment
0.213478,0.220624,treatment
0.213949,0.220624,treatment
0.21442,0.349321,treatment
0.214892,0.349321,treatment
0.215363,0.348521,treatment
0.215834,0.443645,treatment
0.216305,0.644285,treatment
0.216777,0.710631,treatment
0.217248,0.711431,treatment
0.217719,0.443645,treatment
0.21819,0.349321,treatment
0.218662,0.348521,treatment
0.219133,0.645084,treatment
0.219604,0.643485,treatment
0.220075,0.544365,treatment
0.220547,0.544365,treatment
0.221018,0.410871,treatment
0.221489,0.442846,treatment
0.22196,0.442846,treatment
0.222432,0.349321,treatment
0.222903,0.444444,treatment
0.223374,0.444444,treatment
0.223845,0.489209,treatment
0.224317,0.489209,treatment
0.224788,0.645084,treatment
0.225259,0.744205,treatment
0.22573,0.742606,treatment
0.226202,0.644285,treatment
0.226673,0.559552,treatment
0.227144,0.643485,treatment
0.227615,0.559552,treatment
0.228087,0.443645,treatment
0.228558,0.443645,treatment
0.229029,0.294165,treatment
0.2295,0.243006,treatment
0.229972,0.241407,treatment
0.230443,0.242206,treatment
0.230914,0.444444,treatment
0.231385,0.443645,treatment
0.231857,0.466827,treatment
0.232328,0.466827,treatment
0.232799,0.443645,treatment
0.23327,0.443645,treatment
0.233742,0.243006,treatment
0.234213,0.243006,treatment
0.234684,0.242206,treatment
0.235156,0.349321,treatment
0.235627,0.443645,treatment
0.236098,0.443645,treatment
0.236569,0.710631,treatment
0.237041,0.742606,treatment
0.237512,0.742606,treatment
0.237983,0.644285,treatment
0.238454,0.243006,treatment
0.238926,0.243006,treatment
0.239397,0.410871,treatment
0.239868,0.442846,treatment
0.240339,0.444444,treatment
0.240811,0.710631,treatment
0.241282,0.743405,treatment
0.241753,0.742606,treatment
0.242224,0.711431,treatment
0.242696,0.645084,treatment
0.243167,0.426859,treatment
0.243638,0.410072,treatment
0.244109,0.410072,treatment
0.244581,0.410072,treatment
0.245052,0.589129,treatment
0.245523,0.741807,treatment
0.245994,0.710631,treatment
0.246466,0.677858,treatment
0.246937,0.585931,treatment
0.247408,0.597922,treatment
0.247879,0.597922,treatment
0.248351,0.597122,treatment
0.248822,0.603517,treatment
0.249293,0.585132,treatment
0.249764,0.584333,treatment
0.250236,0.488409,treatment
0.250707,0.48761,treatment
0.251178,0.444444,treatment
0.251649,0.442846,treatment
0.252121,0.219025,treatment
0.252592,0.242206,treatment
0.253063,0.242206,treatment
0.253534,0.349321,treatment
0.254006,0.442846,treatment
0.254477,0.444444,treatment
0.254948,0.444444,treatment
0.255419,0.348521,treatment
0.255891,0.243006,treatment
0.256362,0.243006,treatment
0.256833,0.347722,treatment
0.257304,0.347722,treatment
0.257776,0.347722,treatment
0.258247,0.347722,treatment
0.258718,0.442846,treatment
0.259189,0.349321,treatment
0.259661,0.349321,treatment
0.260132,0.349321,treatment
0.260603,0.243006,treatment
0.261074,0.243006,treatment
0.261546,0.243006,treatment
0.262017,0.348521,treatment
0.262488,0.444444,treatment
0.262959,0.444444,treatment
0.263431,0.444444,treatment
0.263902,0.294165,treatment
0.264373,0.293365,treatment
0.264844,0.291767,treatment
0.265316,0.242206,treatment
0.265787,0.243006,treatment
0.266258,0.347722,treatment
0.26673,0.348521,treatment
0.267201,0.348521,treatment
0.267672,0.442846,treatment
0.268143,0.349321,treatment
0.268615,0.348521,treatment
0.269086,0.442846,treatment
0.269557,0.349321,treatment
0.270028,0.348521,treatment
0.2705,0.243006,treatment
0.270971,0.243006,treatment
0.271442,0.348521,treatment
0.271913,0.348521,treatment
0.272385,0.295763,treatment
0.272856,0.295763,treatment
0.273327,0.295763,treatment
0.273798,0.348521,treatment
0.27427,0.349321,treatment
0.274741,0.444444,treatment
0.275212,0.444444,treatment
0.275683,0.444444,treatment
0.276155,0.442846,treatment
0.276626,0.442846,treatment
0.277097,0.444444,treatment
0.277568,0.444444,treatment
0.27804,0.444444,treatment
0.278511,0.442846,treatment
0.278982,0.442846,treatment
0.279453,0.442846,treatment
0.279925,0.442846,treatment
0.280396,0.219025,treatment
0.280867,0.219025,treatment
0.281338,0.219025,treatment
0.28181,0.442846,treatment
0.282281,0.442846,treatment
0.282752,0.442846,treatment
0.283223,0.442846,treatment
0.283695,0.442846,treatment
0.284166,0.220624,treatment
0.284637,0.220624,treatment
0.285108,0.220624,treatment
0.28558,0.349321,treatment
0.286051,0.442846,treatment
0.286522,0.442846,treatment
0.286993,0.442846,treatment
0.287465,0.349321,treatment
0.287936,0.349321,treatment
0.288407,0.519584,treatment
0.288878,0.396483,treatment
0.28935,0.442846,treatment
0.289821,0.241407,treatment
0.290292,0.442846,treatment
0.290763,0.442846,treatment
0.291235,0.442846,treatment
0.291706,0.442846,treatment
0.292177,0.442846,treatment
0.292648,0.442846,treatment
0.29312,0.442846,treatment
0.293591,0.442846,treatment
0.294062,0.442846,treatment
0.294533,0.442846,treatment
0.295005,0.442846,treatment
0.295476,0.349321,treatment
0.295947,0.349321,treatment
0.296418,0.349321,treatment
0.29689,0.219824,treatment
0.297361,0.219824,treatment
0.297832,0.219025,treatment
0.298303,0.243006,treatment
0.298775,0.347722,treatment
0.299246,0.349321,treatment
0.299717,0.349321,treatment
0.300189,0.442846,treatment
0.30066,0.442846,treatment
0.301131,0.442846,treatment
0.301602,0.197442,treatment
0.302074,0.197442,treatment
0.302545,0.197442,treatment
0.303016,0.197442,treatment
0.303487,0.442846,treatment
0.303959,0.442846,treatment
0.30443,0.442846,treatment
0.304901,0.519584,treatment
0.305372,0.518785,treatment
0.305844,0.517986,treatment
0.306315,0.220624,treatment
0.306786,0.220624,treatment
0.307257,0.231015,treatment
0.307729,0.243006,treatment
0.3082,0.442846,treatment
0.308671,0.442846,treatment
0.309142,0.442846,treatment
0.309614,0.295763,treatment
0.310085,0.243006,treatment
0.310556,0.243006,treatment
0.311027,0.347722,treatment
0.311499,0.442846,treatment
0.31197,0.442846,treatment
0.312441,0.442846,treatment
0.312912,0.442846,treatment
0.313384,0.442846,treatment
0.313855,0.442846,treatment
0.314326,0.348521,treatment
0.314797,0.348521,treatment
0.315269,0.348521,treatment
0.31574,0.442846,treatment
0.316211,0.442846,treatment
0.316682,0.442846,treatment
0.317154,0.442846,treatment
0.317625,0.442846,treatment
0.318096,0.442846,treatment
0.318567,0.442846,treatment
0.319039,0.442846,treatment
0.31951,0.442846,treatment
0.319981,0.442846,treatment
0.320452,0.442846,treatment
0.320924,0.442846,treatment
0.321395,0.545164,treatment
0.321866,0.544365,treatment
0.322337,0.490807,treatment
0.322809,0.290168,treatment
0.32328,0.291767,treatment
0.323751,0.196643,treatment
0.324222,0.196643,treatment
0.324694,0.219025,treatment
0.325165,0.219025,treatment
0.325636,0.220624,treatment
0.326107,0.220624,treatment
0.326579,0.220624,treatment
0.32705,0.220624,treatment
0.327521,0.220624,treatment
0.327992,0.220624,treatment
0.328464,0.831335,treatment
0.328935,0.831335,treatment
0.329406,0.410871,treatment
0.329877,0.342126,treatment
0.330349,0.342126,treatment
0.33082,0.194245,treatment
0.331291,0.194245,treatment
0.331762,0.347722,treatment
0.332234,0.347722,treatment
0.332705,0.747402,treatment
0.333176,0.747402,treatment
0.333648,0.739408,treatment
0.334119,0.195843,treatment
0.33459,0.195843,treatment
0.335061,0.195843,treatment
0.335533,0.347722,treatment
0.336004,0.347722,treatment
0.336475,0.347722,treatment
0.336946,0.242206,treatment
0.337418,0.241407,treatment
0.337889,0.220624,treatment
0.33836,0.207834,treatment
0.338831,0.219025,treatment
0.339303,0.220624,treatment
0.339774,0.295763,treatment
0.340245,0.349321,treatment
0.340716,0.349321,treatment
0.341188,0.349321,treatment
0.341659,0.243006,treatment
0.34213,0.349321,treatment
0.342601,0.348521,treatment
0.343073,0.295763,treatment
0.343544,0.347722,treatment
0.344015,0.349321,treatment
0.344486,0.529976,treatment
0.344958,0.529976,treatment
0.345429,0.709832,treatment
0.3459,0.711431,treatment
0.346371,0.711431,treatment
0.346843,0.711431,treatment
0.347314,0.711431,treatment
0.347785,0.711431,treatment
0.348256,0.711431,treatment
0.348728,0.831335,treatment
0.349199,0.831335,treatment
0.34967,0.831335,treatment
0.350141,0.710631,treatment
0.350613,0.709832,treatment
0.351084,0.349321,treatment
0.351555,0.349321,treatment
0.352026,0.349321,treatment
0.352498,0.347722,treatment
0.352969,0.347722,treatment
0.35344,0.348521,treatment
0.353911,0.529976,treatment
0.354383,0.349321,treatment
0.354854,0.348521,treatment
0.355325,0.347722,treatment
0.355796,0.347722,treatment
0.356268,0.348521,treatment
0.356739,0.348521,treatment
0.35721,0.349321,treatment
0.357681,0.709832,treatment
0.358153,0.710631,treatment
0.358624,0.831335,treatment
0.359095,0.831335,treatment
0.359566,0.831335,treatment
0.360038,0.831335,treatment
0.360509,0.831335,treatment
0.36098,0.831335,treatment
0.361451,0.831335,treatment
0.361923,0.831335,treatment
0.362394,0.831335,treatment
0.362865,0.831335,treatment
0.363336,0.831335,treatment
0.363808,0.831335,treatment
0.364279,0.831335,treatment
0.36475,0.831335,treatment
0.365221,0.220624,treatment
0.365693,0.220624,treatment
0.366164,0.220624,treatment
0.366635,0.220624,treatment
0.367107,0.709832,treatment
0.367578,0.709832,treatment
0.368049,0.709832,treatment
0.36852,0.709832,treatment
0.368992,0.711431,treatment
0.369463,0.529976,treatment
0.369934,0.529976,treatment
0.370405,0.349321,treatment
0.370877,0.348521,treatment
0.371348,0.242206,treatment
0.371819,0.243006,treatment
0.37229,0.347722,treatment
0.372762,0.709832,treatment
0.373233,0.831335,treatment
0.373704,0.831335,treatment
0.374175,0.831335,treatment
0.374647,0.709832,treatment
0.375118,0.347722,treatment
0.375589,0.243006,treatment
0.37606,0.243006,treatment
0.376532,0.349321,treatment
0.377003,0.529976,treatment
0.377474,0.529976,treatment
0.377945,0.709832,treatment
0.378417,0.711431,treatment
0.378888,0.711431,treatment
0.379359,0.509992,treatment
0.37983,0.509992,treatment
0.380302,0.509992,treatment
0.380773,0.711431,treatment
0.381244,0.529976,treatment
0.381715,0.347722,treatment
0.382187,0.242206,treatment
0.382658,0.243006,treatment
0.383129,0.348521,treatment
0.3836,0.831335,treatment
0.384072,0.30056,treatment
0.384543,0.30056,treatment
0.385014,0.30056,treatment
0.385485,0.710631,treatment
0.385957,0.348521,treatment
0.386428,0.348521,treatment
0.386899,0.295763,treatment
0.38737,0.348521,treatment
0.387842,0.349321,treatment
0.388313,0.529976,treatment
0.388784,0.529976,treatment
0.389255,0.349321,treatment
0.389727,0.348521,treatment
0.390198,0.349321,treatment
0.390669,0.529976,treatment
0.39114,0.831335,treatment
0.391612,0.831335,treatment
0.392083,0.30056,treatment
0.392554,0.30056,treatment
0.393025,0.30056,treatment
0.393497,0.220624,treatment
0.393968,0.220624,treatment
0.394439,0.220624,treatment
0.39491,0.220624,treatment
0.395382,0.540368,treatment
0.395853,0.540368,treatment
0.396324,0.540368,treatment
0.396795,0.349321,treatment
0.397267,0.349321,treatment
0.397738,0.349321,treatment
0.398209,0.349321,treatment
0.39868,0.711431,treatment
0.399152,0.831335,treatment
0.399623,0.831335,treatment
0.400094,0.831335,treatment
0.400566,0.711431,treatment
0.401037,0.710631,treatment
0.401508,0.710631,treatment
0.401979,0.709832,treatment
0.402451,0.742606,treatment
0.402922,0.590727,treatment
0.403393,0.581934,treatment
0.403864,0.581934,treatment
0.404336,0.543565,treatment
0.404807,0.58753,treatment
0.405278,0.588329,treatment
0.405749,0.590727,treatment
0.406221,0.617106,treatment
0.406692,0.645084,treatment
0.407163,0.527578,treatment
0.407634,0.527578,treatment
0.408106,0.527578,treatment
0.408577,0.644285,treatment
0.409048,0.709832,treatment
0.409519,0.711431,treatment
0.409991,0.711431,treatment
0.410462,0.746603,treatment
0.410933,0.746603,treatment
0.411404,0.711431,treatment
0.411876,0.410072,treatment
0.412347,0.536371,treatment
0.412818,0.540368,treatment
0.413289,0.541167,treatment
0.413761,0.645084,treatment
0.414232,0.645084,treatment
0.414703,0.709832,treatment
0.415174,0.709832,treatment
0.415646,0.709832,treatment
0.416117,0.577138,treatment
0.416588,0.509992,treatment
0.417059,0.577138,treatment
0.417531,0.643485,treatment
0.418002,0.741007,treatment
0.418473,0.741007,treatment
0.418944,0.746603,treatment
