time,survival,arm
0.034364,0.906853,treatment
0.035184,0.905934,treatment
0.036004,0.906547,treatment
0.036824,0.906547,treatment
0.037643,0.906853,treatment
0.038463,0.906853,treatment
0.039283,0.906547,treatment
0.040103,0.89582,treatment
0.040922,0.89582,treatment
0.041742,0.893368,treatment
0.042562,0.893368,treatment
0.043382,0.893368,treatment
0.044201,0.893368,treatment
0.045021,0.893368,treatment
0.045841,0.897045,treatment
0.046661,0.894594,treatment
0.04748,0.881108,treatment
0.0483,0.87314,treatment
0.04912,0.877124,treatment
0.04994,0.875285,treatment
0.05076,0.876511,treatment
0.051579,0.890609,treatment
0.052399,0.88969,treatment
0.053219,0.887238,treatment
0.056498,0.913596,treatment
0.057318,0.914209,treatment
0.058137,0.900417,treatment
0.058957,0.917274,treatment
0.059777,0.914209,treatment
0.060597,0.910531,treatment
0.061416,0.909611,treatment
0.062236,0.910837,treatment
0.063056,0.916661,treatment
0.063876,0.918193,treatment
0.064695,0.90103,treatment
0.065515,0.885093,treatment
0.066335,0.876817,treatment
0.067155,0.877737,treatment
0.067974,0.918193,treatment
0.068794,0.871301,treatment
0.069614,0.909918,treatment
0.070434,0.908692,treatment
0.071253,0.909305,treatment
0.072073,0.910531,treatment
0.072893,0.860574,treatment
0.075352,0.918499,treatment
0.076172,0.902256,treatment
0.080271,0.90624,treatment
0.081091,0.90624,treatment
0.08191,0.90624,treatment
0.08273,0.894287,treatment
0.08355,0.912983,treatment
0.08437,0.913902,treatment
0.099125,0.871914,treatment
0.099945,0.882641,treatment
0.100765,0.900723,treatment
0.101585,0.876511,treatment
0.102404,0.911144,treatment
0.103224,0.910531,treatment
0.104044,0.909611,treatment
0.104864,0.905934,treatment
0.105683,0.905321,treatment
0.106503,0.915435,treatment
0.108143,0.918499,treatment
0.108962,0.918499,treatment
0.109782,0.918499,treatment
0.110602,0.879576,treatment
0.111422,0.870994,treatment
0.112241,0.871914,treatment
0.113061,0.871914,treatment
0.113881,0.870075,treatment
0.114701,0.870994,treatment
0.115521,0.917886,treatment
0.120439,0.918499,treatment
0.121259,0.918499,treatment
0.122079,0.915128,treatment
0.122898,0.91237,treatment
0.123718,0.910224,treatment
0.124538,0.878656,treatment
0.125358,0.671472,treatment
0.126177,0.671779,treatment
0.126997,0.671779,treatment
0.127817,0.672085,treatment
0.128637,0.672085,treatment
0.129456,0.672085,treatment
0.130276,0.672085,treatment
0.131096,0.672085,treatment
0.131916,0.910531,treatment
0.132735,0.912676,treatment
0.133555,0.915741,treatment
0.134375,0.918193,treatment
0.135195,0.918499,treatment
0.136014,0.918499,treatment
0.181101,0.667182,treatment
0.181921,0.667182,treatment
0.182741,0.667182,treatment
0.359809,0.667182,treatment
0.360629,0.667182,treatment
0.084877,0.701118,control
0.085288,0.698687,control
0.085698,0.049684,control
0.086108,0.702333,control
0.086518,0.180943,control
0.086928,0.28668,control
0.087339,0.28911,control
0.087749,0.292756,control
0.088159,0.313418,control
0.088569,0.309772,control
0.088979,0.308556,control
0.08939,0.319494,control
0.0898,0.324356,control
0.09021,0.328002,control
0.09062,0.329217,control
0.09103,0.331648,control
0.09144,0.332863,control
0.091851,0.336509,control
0.092261,0.165143,control
0.092671,0.163928,control
0.093081,0.162713,control
0.093491,0.262372,control
0.093902,0.33894,control
0.094312,0.301264,control
0.094722,0.341371,control
0.095132,0.261157,control
0.095542,0.258726,control
0.095953,0.259942,control
0.096363,0.342586,control
0.096773,0.342586,control
0.097183,0.301264,control
0.097593,0.301264,control
0.098004,0.301264,control
0.098414,0.343802,control
0.098824,0.345017,control
0.099234,0.346232,control
0.099644,0.211327,control
0.100055,0.211327,control
0.100465,0.25508,control
0.100875,0.702333,control
0.101285,0.714487,control
0.101695,0.702333,control
0.102106,0.701118,control
0.102516,0.08736,control
0.102926,0.083714,control
0.103336,0.082499,control
0.103746,0.262372,control
0.104156,0.33894,control
0.104567,0.266018,control
0.104977,0.266018,control
0.105387,0.269665,control
0.105797,0.267234,control
0.106207,0.269665,control
0.106618,0.272095,control
0.107028,0.273311,control
0.107438,0.721779,control
0.107848,0.72421,control
0.108258,0.727856,control
0.108669,0.730287,control
0.109079,0.15299,control
0.109489,0.154205,control
0.109899,0.151774,control
0.110309,0.135975,control
0.11072,0.06913,control
0.11113,0.071561,control
0.11154,0.142052,control
0.11195,0.165143,control
0.11236,0.4228,control
0.112771,0.701118,control
0.113181,0.701118,control
0.113591,0.701118,control
0.114001,0.738794,control
0.114411,0.310987,control
0.114822,0.310987,control
0.115232,0.283034,control
0.115642,0.263588,control
0.116052,0.261157,control
0.116462,0.163928,control
0.116873,0.163928,control
0.117283,0.165143,control
0.117693,0.699903,control
0.118103,0.699903,control
0.118513,0.699903,control
0.118923,0.698687,control
0.119334,0.699903,control
0.119744,0.315848,control
0.120154,0.312202,control
0.120564,0.151774,control
0.120974,0.148128,control
0.121385,0.150559,control
0.121795,0.145698,control
0.122205,0.163928,control
