time,survival,arm
0.053647,0.970048,treatment
0.054257,0.970048,treatment
0.054867,0.970048,treatment
0.055477,0.970048,treatment
0.061579,0.969203,treatment
0.062189,0.968781,treatment
0.062799,0.968781,treatment
0.06341,0.968359,treatment
0.06402,0.967936,treatment
0.06463,0.967936,treatment
0.06524,0.967936,treatment
0.06585,0.967936,treatment
0.06646,0.967936,treatment
0.071952,0.969203,treatment
0.072562,0.968781,treatment
0.073172,0.968781,treatment
0.073783,0.968359,treatment
0.074393,0.967936,treatment
0.075003,0.967936,treatment
0.075613,0.967936,treatment
0.076223,0.967936,treatment
0.076833,0.967936,treatment
0.084156,0.967936,treatment
0.084766,0.967936,treatment
0.087206,0.967936,treatment
0.087817,0.967936,treatment
0.088427,0.967936,treatment
0.09941,0.967936,treatment
0.10002,0.967936,treatment
0.102461,0.967936,treatment
0.103071,0.967936,treatment
0.103681,0.967936,treatment
0.118325,0.97047,treatment
0.118936,0.97047,treatment
0.119546,0.97047,treatment
0.120156,0.970048,treatment
0.122597,0.967936,treatment
0.123207,0.967936,treatment
0.123817,0.967936,treatment
0.124427,0.967936,treatment
0.125037,0.967936,treatment
0.125648,0.967936,treatment
0.126258,0.967936,treatment
0.1348,0.97047,treatment
0.13541,0.97047,treatment
0.136021,0.97047,treatment
0.136631,0.970048,treatment
0.141512,0.970048,treatment
0.142122,0.970048,treatment
0.142732,0.970048,treatment
0.143343,0.970048,treatment
0.16714,0.967936,treatment
0.16775,0.967936,treatment
0.16836,0.967936,treatment
0.16897,0.967936,treatment
0.16958,0.967936,treatment
0.17019,0.967936,treatment
0.170801,0.967936,treatment
0.173851,0.97047,treatment
0.174462,0.97047,treatment
0.175072,0.97047,treatment
0.183614,0.967936,treatment
0.184224,0.967936,treatment
0.186665,0.967936,treatment
0.187275,0.967936,treatment
0.187886,0.967936,treatment
0.198259,0.967936,treatment
0.198869,0.967936,treatment
0.199479,0.967936,treatment
0.200089,0.967936,treatment
0.200699,0.967936,treatment
0.201309,0.967936,treatment
0.20192,0.967936,treatment
0.20497,0.97047,treatment
0.205581,0.97047,treatment
0.206191,0.97047,treatment
0.219615,0.969203,treatment
0.220225,0.968781,treatment
0.220835,0.968781,treatment
0.221445,0.968359,treatment
0.222055,0.967936,treatment
0.222666,0.967936,treatment
0.223276,0.967936,treatment
0.223886,0.967936,treatment
0.224496,0.967936,treatment
0.231208,0.967936,treatment
0.231818,0.967936,treatment
0.232428,0.967936,treatment
0.233039,0.967936,treatment
0.233649,0.967936,treatment
0.234259,0.967936,treatment
0.234869,0.967936,treatment
0.235479,0.967936,treatment
0.23609,0.967936,treatment
0.252564,0.969203,treatment
0.253174,0.968781,treatment
0.253785,0.968781,treatment
0.254395,0.968359,treatment
0.255005,0.967936,treatment
0.255615,0.967936,treatment
0.256225,0.967936,treatment
0.256836,0.967936,treatment
0.257446,0.967936,treatment
0.275751,0.967936,treatment
0.276361,0.967936,treatment
0.278802,0.967936,treatment
0.279412,0.967936,treatment
0.280022,0.967936,treatment
0.290395,0.967936,treatment
0.291005,0.967936,treatment
