time,survival,arm
0.0,0.887295,treatment
0.0,0.887295,treatment
0.0,0.887295,treatment
0.0,0.35041,treatment
0.0,0.373975,treatment
0.0,0.405738,treatment
0.0,0.409836,treatment
0.0,0.407275,treatment
0.0,0.408811,treatment
0.0,0.407275,treatment
0.0,0.40625,treatment
0.0,0.405225,treatment
0.0,0.404713,treatment
0.0,0.406762,treatment
0.0,0.377049,treatment
0.0,0.375512,treatment
0.0,0.373463,treatment
0.0,0.376537,treatment
0.0,0.375512,treatment
0.0,0.376537,treatment
0.0,0.377049,treatment
0.0,0.373975,treatment
0.0,0.41957,treatment
0.0,0.415471,treatment
0.0,0.418033,treatment
0.0,0.413422,treatment
0.0,0.418033,treatment
0.0,0.415471,treatment
0.0,0.385246,treatment
0.0,0.387295,treatment
0.0,0.41291,treatment
0.0,0.389344,treatment
0.0,0.383709,treatment
0.0,0.383197,treatment
0.0,0.382684,treatment
0.0,0.38166,treatment
0.0,0.380635,treatment
0.0,0.162398,treatment
0.0,0.405738,treatment
0.0,0.409324,treatment
0.0,0.413422,treatment
0.0,0.410861,treatment
0.0,0.413422,treatment
0.0,0.414447,treatment
0.0,0.414447,treatment
0.0,0.414447,treatment
0.0,0.382684,treatment
0.0,0.382172,treatment
0.0,0.38166,treatment
0.0,0.383197,treatment
0.0,0.371926,treatment
0.0,0.372439,treatment
0.0,0.328381,treatment
0.0,0.284324,treatment
0.0,0.405738,treatment
0.0,0.410861,treatment
0.0,0.410348,treatment
0.0,0.409836,treatment
0.0,0.410861,treatment
0.0,0.410348,treatment
0.0,0.411373,treatment
0.0,0.405738,treatment
0.0,0.375,treatment
0.0,0.305328,treatment
0.000917,0.375512,treatment
0.001833,0.379611,treatment
0.00275,0.382172,treatment
0.003666,0.16752,treatment
0.004583,0.165984,treatment
0.0055,0.393955,treatment
0.006416,0.413422,treatment
0.007333,0.508709,treatment
0.008249,0.414447,treatment
0.009166,0.619877,treatment
0.010082,0.619877,treatment
0.010999,0.620389,treatment
0.011916,0.41291,treatment
0.012832,0.404201,treatment
0.013749,0.382172,treatment
0.014665,0.383197,treatment
0.015582,0.383197,treatment
0.016499,0.383197,treatment
0.017415,0.382172,treatment
0.018332,0.410861,treatment
0.019248,0.414447,treatment
0.020165,0.578381,treatment
0.021082,0.520492,treatment
0.021998,0.57582,treatment
0.022915,0.262295,treatment
0.023831,0.314549,treatment
0.024748,0.466189,treatment
0.025665,0.373975,treatment
0.026581,0.373463,treatment
0.027498,0.380123,treatment
0.028414,0.393955,treatment
0.029331,0.403689,treatment
0.030247,0.384221,treatment
0.031164,0.403689,treatment
0.032081,0.384221,treatment
0.032997,0.403689,treatment
0.033914,0.402664,treatment
0.03483,0.404713,treatment
0.035747,0.558402,treatment
0.036664,0.414959,treatment
0.03758,0.41291,treatment
0.038497,0.408811,treatment
0.039413,0.404201,treatment
0.04033,0.403176,treatment
0.041247,0.393955,treatment
0.042163,0.272541,treatment
0.04308,0.162398,treatment
0.043996,0.161373,treatment
0.044913,0.625,treatment
0.04583,0.626025,treatment
0.046746,0.623975,treatment
0.047663,0.602459,treatment
0.048579,0.41291,treatment
0.049496,0.410861,treatment
0.050412,0.405738,treatment
0.051329,0.403176,treatment
0.052246,0.38627,treatment
0.053162,0.384221,treatment
0.054079,0.385246,treatment
0.054995,0.381148,treatment
0.055912,0.372951,treatment
0.056829,0.383709,treatment
0.057745,0.634734,treatment
0.058662,0.633709,treatment
0.059578,0.630123,treatment
0.060495,0.628074,treatment
0.061412,0.415471,treatment
0.062328,0.41957,treatment
0.063245,0.418033,treatment
0.064161,0.41752,treatment
0.065078,0.406762,treatment
0.065995,0.406762,treatment
0.066911,0.40625,treatment
0.067828,0.407275,treatment
0.068744,0.378074,treatment
0.069661,0.379098,treatment
0.070577,0.378586,treatment
0.071494,0.376537,treatment
0.072411,0.378074,treatment
0.073327,0.379098,treatment
0.074244,0.413934,treatment
0.07516,0.405225,treatment
0.076077,0.403176,treatment
0.076994,0.403689,treatment
0.07791,0.40625,treatment
0.078827,0.410861,treatment
0.079743,0.409324,treatment
0.08066,0.413934,treatment
0.081577,0.410348,treatment
0.082493,0.41291,treatment
0.08341,0.26793,treatment
0.084326,0.129098,treatment
0.085243,0.129098,treatment
0.086159,0.626025,treatment
0.087076,0.626025,treatment
0.087993,0.553279,treatment
0.088909,0.489242,treatment
0.089826,0.409836,treatment
0.090742,0.410861,treatment
0.091659,0.410348,treatment
0.092576,0.409836,treatment
0.093492,0.409324,treatment
0.094409,0.408811,treatment
0.095325,0.409324,treatment
0.096242,0.409324,treatment
0.097159,0.383197,treatment
0.098075,0.382172,treatment
0.098992,0.374488,treatment
0.099908,0.372951,treatment
0.100825,0.463627,treatment
0.101742,0.410348,treatment
0.102658,0.625,treatment
0.103575,0.410348,treatment
0.104491,0.408299,treatment
0.105408,0.375,treatment
0.106324,0.380123,treatment
0.107241,0.380635,treatment
0.108158,0.380123,treatment
0.109074,0.38166,treatment
0.109991,0.381148,treatment
0.110907,0.383709,treatment
0.111824,0.409324,treatment
0.112741,0.403176,treatment
0.113657,0.307377,treatment
0.114574,0.408299,treatment
0.11549,0.414959,treatment
0.116407,0.597848,treatment
0.117324,0.408811,treatment
0.11824,0.406762,treatment
0.119157,0.409324,treatment
0.120073,0.409836,treatment
0.12099,0.410348,treatment
0.121907,0.372951,treatment
0.122823,0.373463,treatment
0.12374,0.404713,treatment
0.124656,0.626025,treatment
0.125573,0.613217,treatment
0.126489,0.630635,treatment
0.127406,0.628074,treatment
0.128323,0.625512,treatment
0.129239,0.374488,treatment
0.130156,0.160348,treatment
0.131072,0.15625,treatment
0.131989,0.114242,treatment
0.132906,0.377561,treatment
0.133822,0.382172,treatment
0.134739,0.38166,treatment
0.135655,0.383709,treatment
0.136572,0.378074,treatment
0.137489,0.378074,treatment
