time,survival,arm
0.080182,0.963318,treatment
0.080585,0.963318,treatment
0.080988,0.963318,treatment
0.081391,0.963318,treatment
0.081794,0.963735,treatment
0.082197,0.947881,treatment
0.0826,0.947881,treatment
0.083003,0.947881,treatment
0.083406,0.947881,treatment
0.083809,0.947881,treatment
0.084212,0.947463,treatment
0.084615,0.947463,treatment
0.085019,0.947046,treatment
0.085422,0.946629,treatment
0.085825,0.968324,treatment
0.086228,0.92535,treatment
0.086631,0.92535,treatment
0.087034,0.92535,treatment
0.087437,0.92535,treatment
0.08784,0.92535,treatment
0.088243,0.92535,treatment
0.088646,0.92535,treatment
0.089049,0.944543,treatment
0.089452,0.944126,treatment
0.089856,0.943708,treatment
0.090259,0.924933,treatment
0.090662,0.934529,treatment
0.091065,0.934529,treatment
0.091468,0.94496,treatment
0.091871,0.94496,treatment
0.092274,0.923682,treatment
0.092677,0.923264,treatment
0.09308,0.947046,treatment
0.093483,0.948298,treatment
0.093886,0.949967,treatment
0.09429,0.950384,treatment
0.094693,0.945794,treatment
0.095096,0.94496,treatment
0.095499,0.944543,treatment
0.095902,0.944126,treatment
0.096305,0.944126,treatment
0.096708,0.944126,treatment
0.097111,0.944126,treatment
0.097514,0.944126,treatment
0.097917,0.944543,treatment
0.100336,0.973748,treatment
0.100739,0.972914,treatment
0.101142,0.972497,treatment
0.101545,0.972079,treatment
0.101948,0.972079,treatment
0.102351,0.972079,treatment
0.102754,0.972079,treatment
0.103157,0.972079,treatment
0.10356,0.972497,treatment
0.103964,0.978338,treatment
0.104367,0.977921,treatment
0.10477,0.977503,treatment
0.105173,0.977086,treatment
0.105576,0.976252,treatment
0.105979,0.975834,treatment
0.106382,0.975417,treatment
0.106785,0.975,treatment
0.107188,0.974583,treatment
0.107591,0.974166,treatment
0.107994,0.973748,treatment
0.108397,0.919927,treatment
0.108801,0.920344,treatment
0.109204,0.920344,treatment
0.109607,0.920344,treatment
0.11001,0.920344,treatment
0.110413,0.920344,treatment
0.110816,0.920344,treatment
0.111219,0.920344,treatment
0.111622,0.920344,treatment
0.112025,0.92535,treatment
0.112428,0.92535,treatment
0.112831,0.970828,treatment
0.113234,0.971245,treatment
0.113638,0.971245,treatment
0.114041,0.950384,treatment
