time,survival,arm
0.118014,0.703314,treatment
0.118406,0.443375,treatment
0.118798,0.498339,treatment
0.11919,0.626448,treatment
0.119583,0.594628,treatment
0.119975,0.658683,treatment
0.120367,0.623556,treatment
0.120759,0.633474,treatment
0.121151,0.665295,treatment
0.121543,0.587189,treatment
0.121936,0.509083,treatment
0.122328,0.50867,treatment
0.12272,0.426845,treatment
0.123112,0.356591,treatment
0.123504,0.41858,treatment
0.123897,0.390479,treatment
0.124289,0.463212,treatment
0.124681,0.630581,treatment
0.125073,0.660336,treatment
0.125465,0.733069,treatment
0.125857,0.645872,treatment
0.12625,0.6343,treatment
0.126642,0.657856,treatment
0.127034,0.629755,treatment
0.127426,0.505777,treatment
0.127818,0.460319,treatment
0.12821,0.423126,treatment
0.128603,0.421473,treatment
0.128995,0.424366,treatment
0.129387,0.507844,treatment
0.129779,0.700008,treatment
0.130171,0.727283,treatment
0.130564,0.767369,treatment
0.130956,0.79671,treatment
0.131348,0.41858,treatment
0.13174,0.290884,treatment
0.132132,0.314852,treatment
0.132524,0.290884,treatment
0.132917,0.389239,treatment
0.133309,0.425192,treatment
0.133701,0.588429,treatment
0.134093,0.590908,treatment
0.134485,0.424779,treatment
0.134877,0.657856,treatment
0.13527,0.664468,treatment
0.135662,0.664055,treatment
0.136054,0.462799,treatment
0.136446,0.627275,treatment
0.136838,0.623556,treatment
0.137231,0.387586,treatment
0.137623,0.588429,treatment
0.138015,0.458666,treatment
0.138407,0.443789,treatment
0.138799,0.428911,treatment
0.139191,0.697942,treatment
0.139584,0.728523,treatment
0.139976,0.464038,treatment
0.140368,0.458253,treatment
0.14076,0.464038,treatment
0.141152,0.623142,treatment
0.141544,0.595454,treatment
0.141937,0.627688,treatment
0.142329,0.627688,treatment
0.142721,0.592975,treatment
0.143113,0.504951,treatment
0.143505,0.728523,treatment
0.143898,0.727697,treatment
0.14429,0.642566,treatment
0.144682,0.625209,treatment
0.145074,0.505364,treatment
0.145466,0.459906,treatment
0.145858,0.325597,treatment
0.146251,0.657856,treatment
0.146643,0.640499,treatment
0.147035,0.505777,treatment
0.147427,0.314439,treatment
0.147819,0.696289,treatment
0.148211,0.727283,treatment
0.148604,0.79919,treatment
0.148996,0.509497,treatment
0.149388,0.509497,treatment
0.14978,0.391718,treatment
0.150172,0.286338,treatment
0.150565,0.283858,treatment
0.150957,0.335102,treatment
0.151349,0.495446,treatment
0.151741,0.391718,treatment
0.152133,0.557848,treatment
0.152525,0.458253,treatment
0.152918,0.500818,treatment
0.15331,0.76489,treatment
0.153702,0.768196,treatment
0.154094,0.768609,treatment
0.154486,0.630168,treatment
0.154878,0.622729,treatment
0.155271,0.502471,treatment
0.155663,0.733895,treatment
0.156055,0.623142,treatment
0.156447,0.658683,treatment
0.156839,0.659096,treatment
0.157232,0.692983,treatment
0.157624,0.69257,treatment
0.158016,0.658269,treatment
0.158408,0.356591,treatment
0.1588,0.355352,treatment
0.159192,0.72687,treatment
0.159585,0.730589,treatment
0.159977,0.727283,treatment
0.160369,0.45412,treatment
0.160761,0.45536,treatment
0.161153,0.404943,treatment
0.161545,0.401223,treatment
0.161938,0.390892,treatment
0.16233,0.391305,treatment
0.162722,0.729763,treatment
0.163114,0.622729,treatment
0.163506,0.500405,treatment
0.163899,0.498339,treatment
0.164291,0.460319,treatment
0.164683,0.660336,treatment
0.165075,0.593388,treatment
0.165467,0.665708,treatment
0.165859,0.418167,treatment
0.166252,0.41858,treatment
0.166644,0.283445,treatment
0.167036,0.285924,treatment
0.167428,0.386759,treatment
0.16782,0.321465,treatment
0.168212,0.691743,treatment
0.168605,0.589255,treatment
0.168997,0.504124,treatment
0.169389,0.507844,treatment
0.169781,0.52644,treatment
0.170173,0.588429,treatment
0.170566,0.588429,treatment
0.170958,0.588016,treatment
0.17135,0.588429,treatment
0.171742,0.830598,treatment
0.172134,0.728936,treatment
0.172526,0.462385,treatment
0.172919,0.504951,treatment
0.173311,0.462799,treatment
0.173703,0.503298,treatment
0.174095,0.505777,treatment
0.174487,0.42106,treatment
0.17488,0.734309,treatment
0.175272,0.768609,treatment
0.175664,0.664468,treatment
0.176056,0.696289,treatment
0.176448,0.692983,treatment
0.17684,0.4566,treatment
0.177233,0.423539,treatment
0.177625,0.321051,treatment
0.178017,0.500405,treatment
0.178409,0.501645,treatment
0.178801,0.500818,treatment
0.179193,0.549169,treatment
0.179586,0.76241,treatment
0.179978,0.766956,treatment
0.18037,0.83473,treatment
0.180762,0.498752,treatment
0.181154,0.214844,treatment
0.181547,0.321465,treatment
0.181939,0.372295,treatment
0.182331,0.498339,treatment
0.182723,0.422299,treatment
0.183115,0.391305,treatment
0.183507,0.499165,treatment
0.1839,0.664055,treatment
0.184292,0.731003,treatment
0.184684,0.585536,treatment
0.185076,0.45288,treatment
0.185468,0.501645,treatment
0.18586,0.177238,treatment
0.186253,0.217737,treatment
0.186645,0.626035,treatment
