time,survival,arm
0.067422,0.962924,treatment
0.068235,0.962924,treatment
0.069048,0.962924,treatment
0.069861,0.966941,treatment
0.070674,0.96895,treatment
0.071487,0.96895,treatment
0.0723,0.920747,treatment
0.073113,0.960916,treatment
0.073927,0.960916,treatment
0.07474,0.956899,treatment
0.075553,0.956899,treatment
0.076366,0.906688,treatment
0.077179,0.908697,treatment
0.077992,0.954891,treatment
0.078805,0.949869,treatment
0.079618,0.953886,treatment
0.080431,0.869532,treatment
0.081244,0.956899,treatment
0.082057,0.956899,treatment
0.082871,0.965937,treatment
0.169872,0.357381,treatment
0.170685,0.357381,treatment
0.171498,0.350351,treatment
0.173937,0.357381,treatment
0.17475,0.357381,treatment
0.175563,0.357381,treatment
0.195891,0.870536,treatment
0.196704,0.363406,treatment
0.197517,0.363406,treatment
0.19833,0.363406,treatment
0.199143,0.363406,treatment
0.199956,0.35236,treatment
0.200769,0.35236,treatment
0.201582,0.35236,treatment
0.202395,0.363406,treatment
0.203208,0.363406,treatment
0.204022,0.363406,treatment
0.204835,0.363406,treatment
0.205648,0.363406,treatment
0.206461,0.363406,treatment
0.207274,0.363406,treatment
0.208087,0.363406,treatment
0.2089,0.363406,treatment
0.209713,0.357381,treatment
0.210526,0.357381,treatment
0.211339,0.349347,treatment
0.212153,0.35236,treatment
0.212966,0.35236,treatment
0.213779,0.363406,treatment
0.214592,0.363406,treatment
0.215405,0.363406,treatment
0.216218,0.363406,treatment
0.225975,0.354368,treatment
0.226788,0.354368,treatment
0.227601,0.354368,treatment
0.230854,0.363406,treatment
0.231667,0.363406,treatment
0.23248,0.363406,treatment
0.233293,0.363406,treatment
0.234106,0.865515,treatment
0.234919,0.910705,treatment
0.235732,0.911709,treatment
0.236545,0.863507,treatment
0.237358,0.863507,treatment
0.238172,0.87857,treatment
0.238985,0.87857,treatment
0.239798,0.87857,treatment
0.240611,0.903675,treatment
0.241424,0.903675,treatment
0.242237,0.908697,treatment
0.24305,0.363406,treatment
0.243863,0.363406,treatment
0.244676,0.363406,treatment
0.245489,0.363406,treatment
0.246302,0.363406,treatment
0.247116,0.363406,treatment
0.247929,0.363406,treatment
0.251994,0.890621,treatment
0.252807,0.882587,treatment
0.25362,0.423659,treatment
0.254433,0.363406,treatment
0.255246,0.895642,treatment
0.25606,0.893633,treatment
0.256873,0.860494,treatment
0.257686,0.862503,treatment
0.258499,0.867524,treatment
0.259312,0.857481,treatment
0.260125,0.634545,treatment
0.260938,0.867524,treatment
0.261751,0.882587,treatment
0.262564,0.877566,treatment
0.263377,0.861498,treatment
0.264191,0.841414,treatment
0.265004,0.363406,treatment
0.265817,0.363406,treatment
0.26663,0.363406,treatment
0.267443,0.363406,treatment
0.268256,0.363406,treatment
0.269069,0.90468,treatment
0.269882,0.909701,treatment
0.270695,0.892629,treatment
0.271508,0.877566,treatment
0.272321,0.901667,treatment
0.273135,0.901667,treatment
0.273948,0.879574,treatment
0.274761,0.873549,treatment
0.275574,0.354368,treatment
0.276387,0.363406,treatment
0.2772,0.363406,treatment
0.278013,0.886604,treatment
0.278826,0.873549,treatment
0.279639,0.363406,treatment
0.282892,0.363406,treatment
0.283705,0.363406,treatment
0.284518,0.363406,treatment
0.285331,0.363406,treatment
0.286144,0.363406,treatment
0.286957,0.882587,treatment
0.28777,0.883591,treatment
0.288583,0.883591,treatment
0.289396,0.875557,treatment
0.29021,0.849448,treatment
0.291023,0.354368,treatment
0.291836,0.363406,treatment
0.292649,0.363406,treatment
0.293462,0.886604,treatment
0.294275,0.867524,treatment
0.295088,0.85246,treatment
0.295901,0.87857,treatment
0.296714,0.870536,treatment
0.297527,0.876562,treatment
0.29834,0.858486,treatment
0.299154,0.847439,treatment
0.299967,0.891625,treatment
0.30078,0.891625,treatment
0.301593,0.358385,treatment
0.302406,0.358385,treatment
0.303219,0.360394,treatment
0.304032,0.363406,treatment
0.306471,0.363406,treatment
0.307285,0.400562,treatment
0.308098,0.426672,treatment
0.308911,0.426672,treatment
0.309724,0.864511,treatment
0.310537,0.359389,treatment
0.31135,0.360394,treatment
0.312163,0.856477,treatment
0.312976,0.354368,treatment
0.313789,0.354368,treatment
0.315415,0.419642,treatment
0.316229,0.422655,treatment
