time,survival,arm
0.071721,0.938106,treatment
0.072124,0.938106,treatment
0.072527,0.938106,treatment
0.237793,0.520504,treatment
0.238196,0.518023,treatment
0.2386,0.516369,treatment
0.239003,0.517196,treatment
0.239406,0.517196,treatment
0.239809,0.517196,treatment
0.240212,0.517196,treatment
0.240615,0.517196,treatment
0.241018,0.517196,treatment
0.241421,0.517196,treatment
0.241824,0.517196,treatment
0.242227,0.517196,treatment
0.24263,0.517196,treatment
0.243034,0.516369,treatment
0.243437,0.517196,treatment
0.24384,0.517196,treatment
0.244243,0.517196,treatment
0.244646,0.51761,treatment
0.245049,0.517196,treatment
0.245452,0.517196,treatment
0.245855,0.516369,treatment
0.246258,0.515956,treatment
0.246661,0.515956,treatment
0.247064,0.515956,treatment
0.247467,0.516783,treatment
0.247871,0.517196,treatment
0.248274,0.517196,treatment
0.248677,0.517196,treatment
0.24908,0.517196,treatment
0.249483,0.517196,treatment
0.249886,0.517196,treatment
0.250289,0.518023,treatment
0.250692,0.517196,treatment
0.251095,0.517196,treatment
0.251498,0.516369,treatment
0.251901,0.517196,treatment
0.252305,0.518023,treatment
0.252708,0.518023,treatment
0.253111,0.517196,treatment
0.253514,0.51761,treatment
0.253917,0.51761,treatment
0.25432,0.517196,treatment
0.254723,0.517196,treatment
0.255126,0.515956,treatment
0.255529,0.520917,treatment
0.255932,0.520917,treatment
0.261979,0.516783,treatment
0.262382,0.516783,treatment
0.262785,0.516783,treatment
0.263188,0.516783,treatment
0.263591,0.516783,treatment
0.263994,0.516783,treatment
0.264397,0.516783,treatment
0.2648,0.516783,treatment
0.265203,0.514715,treatment
0.265606,0.514302,treatment
0.26601,0.513888,treatment
0.266413,0.513888,treatment
0.266816,0.513888,treatment
0.267219,0.514302,treatment
0.267622,0.516783,treatment
0.268025,0.516783,treatment
0.268428,0.517196,treatment
0.268831,0.515542,treatment
0.269234,0.517196,treatment
0.269637,0.517196,treatment
0.27004,0.518436,treatment
0.27125,0.520504,treatment
0.271653,0.516783,treatment
0.272056,0.516783,treatment
0.272459,0.516783,treatment
0.272862,0.516783,treatment
0.273265,0.516783,treatment
0.273668,0.516783,treatment
0.274071,0.51761,treatment
0.274474,0.516783,treatment
0.274877,0.516783,treatment
0.275281,0.516783,treatment
0.275684,0.516783,treatment
0.276087,0.516783,treatment
0.27649,0.516783,treatment
0.276893,0.516369,treatment
0.277296,0.516783,treatment
0.277699,0.517196,treatment
0.278102,0.516783,treatment
0.278505,0.516783,treatment
0.278908,0.516369,treatment
0.279311,0.514715,treatment
0.279715,0.515129,treatment
0.280118,0.512648,treatment
0.280521,0.513061,treatment
0.280924,0.513475,treatment
0.281327,0.514302,treatment
0.28173,0.515129,treatment
0.282133,0.515542,treatment
0.282536,0.515956,treatment
0.282939,0.51761,treatment
0.283342,0.518023,treatment
0.283745,0.518023,treatment
0.284149,0.518436,treatment
0.284552,0.51885,treatment
0.284955,0.518436,treatment
0.285358,0.518023,treatment
0.285761,0.51761,treatment
0.286164,0.51761,treatment
0.286567,0.516783,treatment
0.28697,0.515542,treatment
0.287373,0.514715,treatment
0.287776,0.514302,treatment
0.288179,0.513888,treatment
0.288582,0.513475,treatment
0.288986,0.513061,treatment
0.394595,0.512234,treatment
0.394998,0.515542,treatment
0.395401,0.511821,treatment
0.395804,0.512648,treatment
0.396207,0.511821,treatment
0.39661,0.511821,treatment
0.397013,0.511821,treatment
0.397416,0.513061,treatment
0.397819,0.513061,treatment
0.398222,0.513888,treatment
0.398626,0.513475,treatment
0.399029,0.511408,treatment
0.399432,0.512234,treatment
0.399835,0.512234,treatment
0.400238,0.512234,treatment
0.400641,0.512648,treatment
0.401044,0.512234,treatment
0.401447,0.512234,treatment
0.40185,0.512234,treatment
0.402253,0.512234,treatment
0.402656,0.512234,treatment
0.40306,0.511821,treatment
0.403463,0.511408,treatment
0.403866,0.511408,treatment
0.404269,0.512234,treatment
0.404672,0.512234,treatment
0.405075,0.512648,treatment
0.405478,0.512648,treatment
0.405881,0.512648,treatment
0.406284,0.512234,treatment
0.406687,0.512234,treatment
0.40709,0.512234,treatment
0.407493,0.510994,treatment
0.407897,0.512234,treatment
0.4083,0.512234,treatment
