time,survival,arm
0.015805,0.956202,treatment
0.016284,0.956202,treatment
0.016762,0.956202,treatment
0.017241,0.956202,treatment
0.01772,0.956202,treatment
0.018199,0.956589,treatment
0.018678,0.956589,treatment
0.019157,0.956589,treatment
0.019636,0.956589,treatment
0.020115,0.956589,treatment
0.020594,0.956589,treatment
0.021073,0.956589,treatment
0.021552,0.958527,treatment
0.023946,0.956202,treatment
0.024425,0.956202,treatment
0.024904,0.956202,treatment
0.025383,0.956202,treatment
0.025862,0.956202,treatment
0.028736,0.956202,treatment
0.029215,0.956202,treatment
0.029693,0.956202,treatment
0.030172,0.956202,treatment
0.030651,0.956202,treatment
0.03113,0.956202,treatment
0.031609,0.957364,treatment
0.032088,0.956202,treatment
0.032567,0.956202,treatment
0.033046,0.956202,treatment
0.033525,0.956202,treatment
0.034004,0.955814,treatment
0.034483,0.955814,treatment
0.034962,0.955814,treatment
0.035441,0.955039,treatment
0.03592,0.955039,treatment
0.038314,0.956977,treatment
0.038793,0.956589,treatment
0.039272,0.956202,treatment
0.039751,0.956202,treatment
0.04023,0.956202,treatment
0.040709,0.954264,treatment
0.041188,0.953876,treatment
0.041667,0.953876,treatment
0.042146,0.953876,treatment
0.042625,0.953876,treatment
0.043103,0.954264,treatment
0.043582,0.956202,treatment
0.044061,0.956202,treatment
0.04454,0.956202,treatment
0.045019,0.956589,treatment
0.045498,0.957364,treatment
0.047893,0.956202,treatment
0.048372,0.956202,treatment
0.048851,0.956202,treatment
0.04933,0.956202,treatment
0.049808,0.956202,treatment
0.050287,0.956977,treatment
0.050766,0.956977,treatment
0.051245,0.956202,treatment
0.051724,0.955814,treatment
0.052203,0.955814,treatment
0.052682,0.956202,treatment
0.053161,0.956202,treatment
0.05364,0.956202,treatment
0.054119,0.956589,treatment
0.054598,0.957364,treatment
0.056992,0.956202,treatment
0.057471,0.956202,treatment
0.05795,0.956202,treatment
0.058429,0.956202,treatment
0.058908,0.956202,treatment
0.059387,0.956202,treatment
0.059866,0.956202,treatment
0.060345,0.956202,treatment
0.060824,0.956202,treatment
0.061303,0.956202,treatment
0.061782,0.956202,treatment
0.062261,0.956202,treatment
0.062739,0.956202,treatment
0.063218,0.956202,treatment
0.069444,0.957752,treatment
0.069923,0.956202,treatment
0.070402,0.956202,treatment
0.070881,0.956202,treatment
0.07136,0.956589,treatment
0.071839,0.956589,treatment
0.072318,0.956589,treatment
0.072797,0.956202,treatment
0.073276,0.956202,treatment
0.073755,0.955814,treatment
0.074234,0.955814,treatment
0.074713,0.955814,treatment
0.546456,0.533721,treatment
0.546935,0.533721,treatment
0.547414,0.076744,treatment
0.547893,0.076744,treatment
0.548372,0.076744,treatment
0.548851,0.076744,treatment
0.54933,0.076744,treatment
0.549808,0.076744,treatment
0.550287,0.076744,treatment
0.550766,0.076744,treatment
0.551245,0.076744,treatment
0.551724,0.076744,treatment
0.552203,0.076744,treatment
0.552682,0.076744,treatment
0.553161,0.076744,treatment
0.55364,0.076744,treatment
0.554119,0.076744,treatment
0.554598,0.076744,treatment
0.555077,0.076744,treatment
0.555556,0.076744,treatment
0.556034,0.826744,treatment
0.556513,0.826744,treatment
0.556992,0.826744,treatment
0.557471,0.826744,treatment
0.55795,0.826744,treatment
0.558429,0.826744,treatment
0.558908,0.826744,treatment
0.559387,0.826744,treatment
0.559866,0.826744,treatment
0.560345,0.826744,treatment
0.560824,0.826744,treatment
0.561303,0.826744,treatment
0.561782,0.826744,treatment
0.562261,0.826744,treatment
0.562739,0.826744,treatment
0.563218,0.826744,treatment
0.563697,0.826744,treatment
0.564176,0.826744,treatment
0.564655,0.828682,treatment
0.565134,0.828682,treatment
0.565613,0.075581,treatment
0.56705,0.830233,treatment
0.567529,0.830233,treatment
0.568008,0.830233,treatment
0.568487,0.830233,treatment
0.568966,0.830233,treatment
0.569444,0.830233,treatment
0.569923,0.830233,treatment
0.570402,0.830233,treatment
0.570881,0.830233,treatment
0.57136,0.830233,treatment
0.571839,0.830233,treatment
0.572318,0.830233,treatment
0.572797,0.830233,treatment
0.573276,0.830233,treatment
0.573755,0.830233,treatment
0.574234,0.830233,treatment
0.574713,0.830233,treatment
0.575192,0.830233,treatment
0.57567,0.830233,treatment
0.602969,0.483333,treatment
0.603448,0.483333,treatment
0.603927,0.253876,treatment
0.604406,0.253876,treatment
0.604885,0.253876,treatment
0.605364,0.253876,treatment
0.605843,0.253876,treatment
0.606322,0.253876,treatment
0.606801,0.253876,treatment
0.60728,0.253876,treatment
0.607759,0.253876,treatment
0.608238,0.253876,treatment
0.608716,0.253876,treatment
0.609195,0.253876,treatment
0.609674,0.253876,treatment
0.610153,0.253876,treatment
0.610632,0.368605,treatment
0.611111,0.368605,treatment
0.61159,0.368605,treatment
0.612069,0.368605,treatment
0.612548,0.368605,treatment
0.613027,0.368605,treatment
0.613506,0.253876,treatment
0.613985,0.253876,treatment
0.614464,0.712403,treatment
0.614943,0.712403,treatment
0.615421,0.712403,treatment
0.6159,0.712403,treatment
0.616379,0.712403,treatment
0.616858,0.712403,treatment
0.617337,0.712403,treatment
0.617816,0.712403,treatment
