time,survival,arm
0.0,0.440864,treatment
0.0,0.497726,treatment
0.0,0.549659,treatment
0.0,0.534875,treatment
0.0,0.533738,treatment
0.0,0.420394,treatment
0.0,0.331691,treatment
0.0,0.498484,treatment
0.0,0.498863,treatment
0.0,0.498863,treatment
0.0,0.480667,treatment
0.0,0.482183,treatment
0.0,0.4837,treatment
0.0,0.500379,treatment
0.0,0.503412,treatment
0.0,0.554966,treatment
0.0,0.577331,treatment
0.0,0.572782,treatment
0.0,0.563306,treatment
0.0,0.305914,treatment
0.0,0.357468,treatment
0.0,0.156179,treatment
0.0,0.404473,treatment
0.0,0.497346,treatment
0.0,0.537528,treatment
0.0,0.535633,treatment
0.0,0.499242,treatment
0.0,0.499621,treatment
0.0,0.330174,treatment
0.0,0.327521,treatment
0.0,0.347612,treatment
0.0,0.421531,treatment
0.0,0.476497,treatment
0.0,0.594011,treatment
0.0,0.591736,treatment
0.0,0.594769,treatment
0.0,0.649735,treatment
0.0,0.630781,treatment
0.0,0.628886,treatment
0.0,0.495072,treatment
0.0,0.308946,treatment
0.0,0.306672,treatment
0.0,0.329416,treatment
0.0,0.470053,treatment
0.0,0.55345,treatment
0.0,0.692191,treatment
0.0,0.388552,treatment
0.0,0.382866,treatment
0.0,0.385898,treatment
0.0,0.38135,treatment
0.0,0.421152,treatment
0.0,0.326384,treatment
0.0,0.310462,treatment
0.0,0.29113,treatment
0.0,0.326005,treatment
0.0,0.658453,treatment
0.0,0.667551,treatment
0.0,0.785444,treatment
0.0,0.839272,treatment
0.0,0.542456,treatment
0.0,0.499242,treatment
0.0,0.420394,treatment
0.0,0.402199,treatment
0.0,0.402578,treatment
0.0,0.478014,treatment
0.0,0.45906,treatment
0.0,0.501516,treatment
0.0,0.612206,treatment
0.000925,0.630781,treatment
0.00185,0.631918,treatment
0.002775,0.672858,treatment
0.0037,0.537149,treatment
0.004625,0.533738,treatment
0.00555,0.329795,treatment
0.006475,0.306293,treatment
0.007401,0.30743,treatment
0.008326,0.460576,treatment
0.009251,0.442381,treatment
0.010176,0.59439,treatment
0.011101,0.592873,treatment
0.012026,0.594011,treatment
0.012951,0.537528,treatment
0.013876,0.554966,treatment
0.014801,0.363154,treatment
0.015726,0.388931,treatment
0.016651,0.401061,treatment
0.017576,0.458681,treatment
0.018501,0.496588,treatment
0.019426,0.627748,treatment
0.020352,0.439727,treatment
0.021277,0.441622,treatment
0.022202,0.460955,treatment
0.023127,0.366187,treatment
0.024052,0.311979,treatment
0.024977,0.330174,treatment
0.025902,0.328658,treatment
0.026827,0.497346,treatment
0.027752,0.458302,treatment
0.028677,0.462092,treatment
0.029602,0.495451,treatment
0.030527,0.494693,treatment
0.031452,0.365428,treatment
0.032377,0.365807,treatment
0.033302,0.438969,treatment
0.034228,0.382487,treatment
