time,survival,arm
0.123444,0.945426,treatment
0.124296,0.945426,treatment
0.125147,0.945426,treatment
0.125999,0.945426,treatment
0.143037,0.945426,treatment
0.143889,0.945426,treatment
0.14474,0.945426,treatment
0.16263,0.941221,treatment
0.163482,0.941221,treatment
0.164333,0.941221,treatment
0.165185,0.941221,treatment
0.182223,0.941221,treatment
0.183075,0.941221,treatment
0.183926,0.941221,treatment
0.184778,0.941221,treatment
0.202668,0.945426,treatment
0.20352,0.945426,treatment
0.204371,0.945426,treatment
0.221409,0.941221,treatment
0.222261,0.945426,treatment
0.223113,0.945426,treatment
0.223964,0.945426,treatment
0.241002,0.945426,treatment
0.241854,0.945426,treatment
0.242706,0.945426,treatment
0.243557,0.945426,treatment
0.244409,0.941221,treatment
0.261447,0.945426,treatment
0.262299,0.945426,treatment
0.26315,0.945426,treatment
0.264002,0.945426,treatment
0.28104,0.945426,treatment
0.281892,0.945426,treatment
0.282744,0.945426,treatment
0.283595,0.945426,treatment
0.300633,0.945426,treatment
0.301485,0.945426,treatment
0.302337,0.945426,treatment
0.303188,0.941221,treatment
0.319374,0.945426,treatment
0.320226,0.941221,treatment
0.321078,0.932812,treatment
0.32193,0.932812,treatment
0.322781,0.932812,treatment
0.323633,0.920199,treatment
0.324485,0.861336,treatment
0.325337,0.865541,treatment
0.333856,0.865541,treatment
0.334708,0.861336,treatment
0.33556,0.857132,treatment
0.336411,0.857132,treatment
0.337263,0.857132,treatment
0.338115,0.857132,treatment
0.338967,0.819291,treatment
0.339819,0.819291,treatment
0.340671,0.819291,treatment
0.341523,0.819291,treatment
0.342374,0.819291,treatment
0.343226,0.819291,treatment
0.344078,0.819291,treatment
0.34493,0.815087,treatment
0.345782,0.815087,treatment
0.346634,0.815087,treatment
0.347486,0.810882,treatment
0.348338,0.773042,treatment
0.349189,0.75202,treatment
0.350041,0.739406,treatment
0.350893,0.730997,treatment
0.351745,0.730997,treatment
0.352597,0.722588,treatment
0.353449,0.697361,treatment
0.354301,0.693157,treatment
