time,survival,arm
0.0,1.0,treatment
0.0,0.967033,treatment
0.0,0.68022,treatment
0.0,0.623077,treatment
0.0,0.567033,treatment
0.0,0.19011,treatment
0.0,0.19011,treatment
0.0,0.19011,treatment
0.0,0.19011,treatment
0.0,0.19011,treatment
0.0,0.19011,treatment
0.0,0.19011,treatment
0.0,0.19011,treatment
0.0,0.19011,treatment
0.0,0.19011,treatment
0.0,0.19011,treatment
0.0,0.19011,treatment
0.0,0.19011,treatment
0.0,0.19011,treatment
0.0,0.19011,treatment
0.0,0.19011,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.0,0.045055,treatment
0.001157,0.045055,treatment
0.002315,0.045055,treatment
0.003472,0.045055,treatment
0.00463,0.045055,treatment
0.005787,0.045055,treatment
0.006944,0.045055,treatment
0.008102,0.045055,treatment
0.009259,0.045055,treatment
0.010417,0.045055,treatment
0.011574,0.045055,treatment
0.012731,0.045055,treatment
0.013889,0.045055,treatment
0.015046,0.045055,treatment
0.016204,0.045055,treatment
0.017361,0.045055,treatment
0.018519,0.045055,treatment
0.019676,0.045055,treatment
0.020833,0.045055,treatment
0.021991,0.045055,treatment
0.023148,0.045055,treatment
0.024306,0.045055,treatment
0.025463,0.045055,treatment
0.02662,0.045055,treatment
0.027778,0.045055,treatment
0.028935,0.045055,treatment
0.030093,0.045055,treatment
0.03125,0.045055,treatment
0.032407,0.045055,treatment
0.033565,0.045055,treatment
0.034722,0.045055,treatment
0.03588,0.045055,treatment
0.037037,0.045055,treatment
0.038194,0.045055,treatment
0.039352,0.045055,treatment
0.040509,0.045055,treatment
0.041667,0.045055,treatment
0.042824,0.045055,treatment
0.043981,0.045055,treatment
0.045139,0.045055,treatment
0.046296,0.045055,treatment
0.047454,0.045055,treatment
0.048611,0.045055,treatment
0.049769,0.045055,treatment
0.050926,0.045055,treatment
0.052083,0.045055,treatment
0.053241,0.045055,treatment
0.054398,0.045055,treatment
0.055556,0.045055,treatment
0.056713,0.045055,treatment
0.05787,0.045055,treatment
0.059028,0.045055,treatment
0.060185,0.036264,treatment
0.061343,0.036264,treatment
0.0625,0.036264,treatment
0.063657,0.036264,treatment
0.064815,0.036264,treatment
0.065972,0.036264,treatment
0.06713,0.021978,treatment
0.068287,0.021978,treatment
0.069444,0.021978,treatment
0.070602,0.021978,treatment
0.071759,0.021978,treatment
0.072917,0.021978,treatment
0.074074,0.021978,treatment
0.075231,0.021978,treatment
0.076389,0.021978,treatment
0.077546,0.021978,treatment
0.078704,0.021978,treatment
0.079861,0.021978,treatment
0.081019,0.021978,treatment
