time,survival,arm
0.178161,1.0,treatment
0.17931,1.0,treatment
0.18046,1.0,treatment
0.181609,0.993039,treatment
0.182759,0.986079,treatment
0.183908,0.983759,treatment
0.185057,0.983759,treatment
0.186207,0.983759,treatment
0.187356,0.983759,treatment
0.188506,0.983759,treatment
0.189655,0.981439,treatment
0.190805,0.974478,treatment
0.191954,0.974478,treatment
0.193103,0.974478,treatment
0.194253,0.974478,treatment
0.195402,0.974478,treatment
0.196552,0.974478,treatment
0.197701,0.974478,treatment
0.198851,0.974478,treatment
0.2,0.974478,treatment
0.201149,0.974478,treatment
0.202299,0.974478,treatment
0.203448,0.974478,treatment
0.204598,0.974478,treatment
0.205747,0.974478,treatment
0.206897,0.974478,treatment
0.208046,0.974478,treatment
0.209195,0.974478,treatment
0.210345,0.974478,treatment
0.211494,0.974478,treatment
0.212644,0.974478,treatment
0.213793,0.974478,treatment
0.214943,0.974478,treatment
0.216092,0.974478,treatment
0.217241,0.974478,treatment
0.218391,0.974478,treatment
0.21954,0.974478,treatment
0.22069,0.974478,treatment
0.221839,0.974478,treatment
0.222989,0.974478,treatment
0.224138,0.974478,treatment
0.225287,0.974478,treatment
0.226437,0.974478,treatment
0.227586,0.974478,treatment
0.228736,0.974478,treatment
0.229885,0.974478,treatment
0.231034,0.974478,treatment
0.232184,0.974478,treatment
0.233333,0.974478,treatment
0.234483,0.974478,treatment
0.235632,0.974478,treatment
0.236782,0.974478,treatment
0.237931,0.974478,treatment
0.23908,0.974478,treatment
0.24023,0.974478,treatment
0.241379,0.974478,treatment
0.242529,0.974478,treatment
0.243678,0.974478,treatment
0.244828,0.974478,treatment
0.245977,0.974478,treatment
0.247126,0.974478,treatment
0.248276,0.974478,treatment
0.249425,0.974478,treatment
0.250575,0.974478,treatment
0.251724,0.974478,treatment
0.252874,0.974478,treatment
0.254023,0.974478,treatment
0.255172,0.974478,treatment
0.256322,0.974478,treatment
0.257471,0.974478,treatment
0.258621,0.974478,treatment
0.25977,0.974478,treatment
0.26092,0.974478,treatment
0.262069,0.974478,treatment
0.263218,0.974478,treatment
0.264368,0.974478,treatment
0.265517,0.974478,treatment
0.266667,0.974478,treatment
0.267816,0.974478,treatment
0.268966,0.974478,treatment
0.270115,0.974478,treatment
0.271264,0.974478,treatment
0.272414,0.974478,treatment
0.273563,0.974478,treatment
0.274713,0.974478,treatment
0.275862,0.967517,treatment
0.277011,0.967517,treatment
0.278161,0.967517,treatment
0.27931,0.967517,treatment
0.28046,0.967517,treatment
0.281609,0.967517,treatment
0.282759,0.967517,treatment
0.283908,0.967517,treatment
0.285057,0.965197,treatment
0.286207,0.965197,treatment
0.287356,0.965197,treatment
0.288506,0.965197,treatment
0.289655,0.965197,treatment
0.290805,0.965197,treatment
0.291954,0.965197,treatment
0.293103,0.965197,treatment
