time,survival,arm
0.13902,0.706596,treatment
0.144675,0.516623,treatment
0.145146,0.516623,treatment
0.145617,0.516623,treatment
0.146089,0.516623,treatment
0.14656,0.516623,treatment
0.147031,0.516623,treatment
0.147502,0.516623,treatment
0.147974,0.516623,treatment
0.148445,0.516623,treatment
0.148916,0.516623,treatment
0.149387,0.516623,treatment
0.149859,0.516623,treatment
0.15033,0.516623,treatment
0.150801,0.516623,treatment
0.151272,0.516623,treatment
0.151744,0.516623,treatment
0.152215,0.516623,treatment
0.152686,0.516623,treatment
0.153157,0.516623,treatment
0.153629,0.516623,treatment
0.1541,0.516623,treatment
0.154571,0.516623,treatment
0.155042,0.516623,treatment
0.155514,0.516623,treatment
0.155985,0.516623,treatment
0.156456,0.516623,treatment
0.156927,0.516623,treatment
0.157399,0.516623,treatment
0.15787,0.516623,treatment
0.158341,0.516623,treatment
0.158812,0.516623,treatment
0.159284,0.516623,treatment
0.159755,0.516623,treatment
0.160226,0.516623,treatment
0.160697,0.516623,treatment
0.161169,0.516623,treatment
0.16164,0.516623,treatment
0.162111,0.516623,treatment
0.162582,0.516623,treatment
0.163054,0.516623,treatment
0.163525,0.516623,treatment
0.163996,0.516623,treatment
0.164467,0.516623,treatment
0.164939,0.516623,treatment
0.16541,0.516623,treatment
0.165881,0.516623,treatment
0.166352,0.516623,treatment
0.166824,0.516623,treatment
0.167295,0.516623,treatment
0.167766,0.516623,treatment
0.168238,0.516623,treatment
0.168709,0.516623,treatment
0.16918,0.516623,treatment
0.169651,0.516623,treatment
0.170123,0.516623,treatment
0.170594,0.516623,treatment
0.171065,0.516623,treatment
0.171536,0.516623,treatment
0.172008,0.516623,treatment
0.172479,0.516623,treatment
0.17295,0.516623,treatment
0.173421,0.516623,treatment
0.181904,0.516623,treatment
0.182375,0.516623,treatment
0.182846,0.516623,treatment
0.224788,0.516623,treatment
0.232799,0.516623,treatment
0.23327,0.516623,treatment
0.233742,0.516623,treatment
0.234213,0.516623,treatment
0.245052,0.516623,treatment
0.28181,0.516623,treatment
0.282281,0.516623,treatment
0.282752,0.516623,treatment
0.283223,0.516623,treatment
0.283695,0.516623,treatment
0.284166,0.516623,treatment
0.284637,0.516623,treatment
0.285108,0.516623,treatment
0.28558,0.516623,treatment
0.286051,0.516623,treatment
0.286522,0.516623,treatment
0.286993,0.516623,treatment
0.287465,0.516623,treatment
0.287936,0.516623,treatment
0.288407,0.516623,treatment
0.288878,0.516623,treatment
0.28935,0.516623,treatment
0.289821,0.516623,treatment
0.290292,0.516623,treatment
0.290763,0.516623,treatment
0.291235,0.516623,treatment
0.291706,0.516623,treatment
0.292177,0.516623,treatment
0.292648,0.516623,treatment
0.29312,0.516623,treatment
0.293591,0.516623,treatment
0.294062,0.516623,treatment
0.294533,0.516623,treatment
0.295005,0.516623,treatment
0.295476,0.516623,treatment
0.295947,0.516623,treatment
0.296418,0.516623,treatment
0.29689,0.516623,treatment
0.297361,0.516623,treatment
0.297832,0.516623,treatment
0.298303,0.516623,treatment
0.298775,0.516623,treatment
0.299246,0.516623,treatment
0.299717,0.516623,treatment
0.300189,0.516623,treatment
0.30066,0.516623,treatment
0.301131,0.516623,treatment
0.301602,0.516623,treatment
0.302074,0.516623,treatment
0.302545,0.516623,treatment
0.303016,0.516623,treatment
0.303487,0.516623,treatment
0.303959,0.516623,treatment
0.30443,0.516623,treatment
0.304901,0.516623,treatment
0.305372,0.516623,treatment
0.305844,0.516623,treatment
0.306315,0.516623,treatment
0.306786,0.516623,treatment
0.307257,0.516623,treatment
0.307729,0.516623,treatment
0.3082,0.516623,treatment
0.308671,0.516623,treatment
0.309142,0.516623,treatment
0.309614,0.516623,treatment
0.310085,0.516623,treatment
0.310556,0.516623,treatment
0.311027,0.516623,treatment
0.311499,0.516623,treatment
0.39491,0.516623,treatment
0.395382,0.516623,treatment
0.395853,0.516623,treatment
0.396324,0.516623,treatment
0.396795,0.516623,treatment
0.397267,0.516623,treatment
0.397738,0.516623,treatment
0.398209,0.516623,treatment
0.39868,0.516623,treatment
0.399152,0.516623,treatment
0.399623,0.516623,treatment
0.400094,0.516623,treatment
0.400566,0.516623,treatment
0.401037,0.516623,treatment
0.401508,0.512401,treatment
0.401979,0.512401,treatment
0.404336,0.384169,treatment
0.404807,0.383113,treatment
0.405749,0.382058,treatment
0.409519,0.382058,treatment
0.409991,0.37942,treatment
0.410462,0.378892,treatment
0.414703,0.175726,treatment
0.415174,0.175726,treatment
0.415646,0.175726,treatment
0.557022,0.175726,treatment
0.557493,0.175726,treatment
0.557964,0.175726,treatment
0.558435,0.175726,treatment
0.558907,0.175726,treatment
0.559378,0.175726,treatment
0.559849,0.175726,treatment
0.56032,0.175726,treatment
0.560792,0.175726,treatment
0.561263,0.175726,treatment
0.561734,0.175726,treatment
0.562205,0.175726,treatment
0.562677,0.175726,treatment
0.563148,0.175726,treatment
0.563619,0.175726,treatment
0.56409,0.175726,treatment
0.564562,0.175726,treatment
0.565033,0.175726,treatment
0.565504,0.175726,treatment
0.565975,0.175726,treatment
0.566447,0.175726,treatment
0.566918,0.175726,treatment
0.567389,0.175726,treatment
0.567861,0.175726,treatment
0.568332,0.175726,treatment
0.568803,0.175726,treatment
0.569274,0.175726,treatment
0.569746,0.175726,treatment
0.570217,0.175726,treatment
0.570688,0.175726,treatment
0.571159,0.175726,treatment
0.571631,0.175726,treatment
0.572102,0.175726,treatment
0.572573,0.175726,treatment
0.573044,0.175726,treatment
0.573516,0.175726,treatment
0.573987,0.175726,treatment
0.574458,0.175726,treatment
0.574929,0.175726,treatment
0.575401,0.175726,treatment
0.575872,0.175726,treatment
0.576343,0.175726,treatment
0.576814,0.175726,treatment
0.577286,0.175726,treatment
0.130537,0.744591,control
0.131008,0.743008,control
0.13148,0.743008,control
0.131951,0.739842,control
0.132422,0.737731,control
0.132893,0.737731,control
0.133365,0.731926,control
0.133836,0.731398,control
0.134307,0.729815,control
0.134779,0.725594,control
0.13525,0.725066,control
0.135721,0.723483,control
0.136192,0.7219,control
0.136664,0.721372,control
0.137135,0.720317,control
0.137606,0.720317,control
0.138077,0.720317,control
0.138549,0.719789,control
0.13902,0.718206,control
0.139491,0.713984,control
0.139962,0.713456,control
0.140434,0.713456,control
0.140905,0.712929,control
0.141376,0.712929,control
0.141847,0.712401,control
0.143732,0.705013,control
0.144204,0.705013,control
0.144675,0.704485,control
0.145146,0.704485,control
0.145617,0.704485,control
0.146089,0.704485,control
0.14656,0.704485,control
0.147031,0.70343,control
0.147502,0.70343,control
0.147974,0.70343,control
0.148445,0.70343,control
0.148916,0.70343,control
0.149387,0.702902,control
0.149859,0.702902,control
0.15033,0.702375,control
0.150801,0.701319,control
0.151272,0.701319,control
0.151744,0.699736,control
0.152215,0.699736,control
0.152686,0.699208,control
0.153157,0.698681,control
0.153629,0.607916,control
0.1541,0.607916,control
0.154571,0.607916,control
0.155042,0.607916,control
0.155514,0.607916,control
0.155985,0.607916,control
0.156456,0.607916,control
0.156927,0.607916,control
0.157399,0.607916,control
0.15787,0.607916,control
0.158341,0.607916,control
0.158812,0.605277,control
0.159284,0.605277,control
0.159755,0.605277,control
0.160226,0.605277,control
0.160697,0.605277,control
0.161169,0.604222,control
0.16164,0.604222,control
0.162111,0.604222,control
0.162582,0.604222,control
0.163054,0.604222,control
0.163525,0.604222,control
0.163996,0.604222,control
0.164467,0.604222,control
0.164939,0.604222,control
0.16541,0.604222,control
0.165881,0.604222,control
0.166352,0.604222,control
0.166824,0.604222,control
0.167295,0.604222,control
0.167766,0.604222,control
0.168238,0.604222,control
0.168709,0.604222,control
0.16918,0.604222,control
0.169651,0.604222,control
0.170123,0.604222,control
0.170594,0.604222,control
0.171065,0.604222,control
0.171536,0.604222,control
0.172008,0.604222,control
0.172479,0.604222,control
0.17295,0.604222,control
0.173421,0.604222,control
0.173893,0.604222,control
0.174364,0.604222,control
0.174835,0.604222,control
0.180019,0.604222,control
0.18049,0.604222,control
0.180961,0.604222,control
0.181433,0.604222,control
0.181904,0.604222,control
0.182375,0.604222,control
0.182846,0.604222,control
0.183318,0.604222,control
0.183789,0.604222,control
0.18426,0.604222,control
0.184731,0.604222,control
0.185203,0.604222,control
0.185674,0.604222,control
0.186145,0.604222,control
0.186616,0.604222,control
0.187088,0.604222,control
0.187559,0.604222,control
0.18803,0.604222,control
0.188501,0.604222,control
0.188973,0.604222,control
0.189444,0.604222,control
0.189915,0.604222,control
0.190386,0.604222,control
0.190858,0.604222,control
0.191329,0.604222,control
0.1918,0.604222,control
0.192271,0.604222,control
0.192743,0.604222,control
0.193214,0.604222,control
0.193685,0.604222,control
0.194156,0.604222,control
0.194628,0.604222,control
0.195099,0.604222,control
0.19557,0.604222,control
0.196041,0.604222,control
0.196513,0.604222,control
0.196984,0.604222,control
0.197455,0.604222,control
0.197926,0.604222,control
0.198398,0.604222,control
0.198869,0.604222,control
0.19934,0.604222,control
0.199811,0.604222,control
0.200283,0.604222,control
0.200754,0.604222,control
0.201225,0.604222,control
0.201697,0.604222,control
0.202168,0.604222,control
0.202639,0.604222,control
0.20311,0.604222,control
0.203582,0.604222,control
0.204053,0.604222,control
0.204524,0.604222,control
0.204995,0.604222,control
0.205467,0.604222,control
0.205938,0.604222,control
0.206409,0.604222,control
0.20688,0.604222,control
0.208294,0.604222,control
0.208765,0.604222,control
0.209237,0.604222,control
0.209708,0.604222,control
0.210179,0.604222,control
0.21065,0.604222,control
0.211122,0.604222,control
0.211593,0.604222,control
0.212064,0.604222,control
0.212535,0.604222,control
0.213007,0.604222,control
0.213478,0.604222,control
0.213949,0.604222,control
0.21442,0.604222,control
0.214892,0.604222,control
0.215363,0.604222,control
0.215834,0.604222,control
0.216305,0.604222,control
0.216777,0.604222,control
0.217248,0.604222,control
