time,survival,arm
0.0,0.943771,treatment
0.0,0.943771,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.082139,treatment
0.0,0.074972,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.0,0.073319,treatment
0.000951,0.073319,treatment
0.001901,0.073319,treatment
0.002852,0.073319,treatment
0.003802,0.073319,treatment
0.004753,0.073319,treatment
0.005703,0.073319,treatment
0.006654,0.073319,treatment
0.007605,0.073319,treatment
0.008555,0.073319,treatment
0.009506,0.073319,treatment
0.010456,0.073319,treatment
0.011407,0.073319,treatment
0.012357,0.073319,treatment
0.013308,0.073319,treatment
0.014259,0.073319,treatment
0.015209,0.073319,treatment
0.01616,0.073319,treatment
0.01711,0.073319,treatment
0.018061,0.073319,treatment
0.019011,0.073319,treatment
0.019962,0.073319,treatment
0.020913,0.073319,treatment
0.021863,0.073319,treatment
0.022814,0.073319,treatment
0.023764,0.073319,treatment
0.024715,0.073319,treatment
0.025665,0.073319,treatment
0.026616,0.073319,treatment
