time,survival,arm
0.0,0.474603,treatment
0.0,0.47381,treatment
0.0,0.471429,treatment
0.0,0.468254,treatment
0.0,0.46746,treatment
0.0,0.466667,treatment
0.0,0.461508,treatment
0.0,0.457143,treatment
0.0,0.450397,treatment
0.0,0.45,treatment
0.0,0.445635,treatment
0.0,0.439683,treatment
0.0,0.436905,treatment
0.0,0.431746,treatment
0.0,0.425,treatment
0.0,0.421032,treatment
0.0,0.41746,treatment
0.0,0.411111,treatment
0.0,0.40873,treatment
0.0,0.402381,treatment
0.0,0.400397,treatment
0.0,0.395238,treatment
0.0,0.392857,treatment
0.0,0.388492,treatment
0.0,0.38373,treatment
0.0,0.383333,treatment
0.0,0.377778,treatment
0.0,0.376984,treatment
0.0,0.370238,treatment
0.0,0.365873,treatment
0.0,0.364683,treatment
0.0,0.359524,treatment
0.0,0.356349,treatment
0.0,0.354762,treatment
0.0,0.352778,treatment
0.0,0.352778,treatment
0.0,0.352778,treatment
0.0,0.352778,treatment
0.0,0.352778,treatment
0.0,0.352778,treatment
0.0,0.352778,treatment
0.0,0.352778,treatment
0.0,0.352778,treatment
0.0,0.352778,treatment
0.0,0.352778,treatment
0.0,0.352778,treatment
0.0,0.352778,treatment
0.0,0.313095,treatment
0.0,0.313095,treatment
0.0,0.313095,treatment
0.0,0.3,treatment
0.0,0.3,treatment
0.0,0.3,treatment
0.0,0.3,treatment
0.0,0.3,treatment
0.0,0.3,treatment
0.0,0.3,treatment
0.0,0.3,treatment
0.0,0.3,treatment
0.0,0.3,treatment
0.0,0.265476,treatment
0.0,0.259921,treatment
0.0,0.25873,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
0.0,0.252778,treatment
