time,survival,arm
0.104618,0.938338,treatment
0.105561,0.93604,treatment
0.106503,0.935274,treatment
0.107446,0.934508,treatment
0.108388,0.934125,treatment
0.109331,0.933742,treatment
0.110273,0.933742,treatment
0.111216,0.653007,treatment
0.112158,0.653007,treatment
0.113101,0.653007,treatment
0.114043,0.652624,treatment
0.114986,0.652624,treatment
0.115928,0.652624,treatment
0.116871,0.652624,treatment
0.117813,0.652624,treatment
0.118756,0.652624,treatment
0.119698,0.652241,treatment
0.120641,0.652241,treatment
0.121583,0.652241,treatment
0.122526,0.651475,treatment
0.123468,0.651092,treatment
0.124411,0.651092,treatment
0.125353,0.651092,treatment
0.126296,0.651092,treatment
0.127238,0.651092,treatment
0.128181,0.651092,treatment
0.129123,0.651092,treatment
0.130066,0.651092,treatment
0.131008,0.651092,treatment
0.131951,0.651092,treatment
0.132893,0.651092,treatment
0.133836,0.648794,treatment
0.134779,0.647262,treatment
0.135721,0.646879,treatment
0.136664,0.646879,treatment
0.137606,0.646879,treatment
0.138549,0.646879,treatment
0.139491,0.646879,treatment
0.140434,0.646879,treatment
0.141376,0.646879,treatment
0.142319,0.646879,treatment
0.143261,0.646879,treatment
0.144204,0.646879,treatment
0.145146,0.646879,treatment
0.146089,0.646879,treatment
0.147031,0.644198,treatment
0.147974,0.644198,treatment
0.148916,0.644198,treatment
0.149859,0.644198,treatment
0.150801,0.644198,treatment
0.151744,0.644198,treatment
0.152686,0.644198,treatment
0.153629,0.644198,treatment
0.154571,0.644198,treatment
0.155514,0.644198,treatment
0.156456,0.644198,treatment
0.157399,0.644198,treatment
0.158341,0.644198,treatment
0.159284,0.644198,treatment
0.160226,0.644198,treatment
0.161169,0.644198,treatment
0.162111,0.644198,treatment
0.163054,0.644198,treatment
0.163996,0.644198,treatment
0.164939,0.644198,treatment
0.165881,0.644198,treatment
0.166824,0.644198,treatment
0.167766,0.644198,treatment
0.168709,0.644198,treatment
0.169651,0.644198,treatment
0.170594,0.644198,treatment
0.171536,0.644198,treatment
0.172479,0.644198,treatment
0.173421,0.644198,treatment
0.174364,0.644198,treatment
0.175306,0.644198,treatment
0.176249,0.644198,treatment
0.177191,0.644198,treatment
0.178134,0.644198,treatment
0.179076,0.644198,treatment
0.180019,0.644198,treatment
0.180961,0.644198,treatment
0.181904,0.644198,treatment
0.182846,0.644198,treatment
0.183789,0.644198,treatment
0.184731,0.644198,treatment
0.185674,0.644198,treatment
0.186616,0.644198,treatment
0.187559,0.644198,treatment
0.188501,0.644198,treatment
0.189444,0.644198,treatment
0.190386,0.644198,treatment
0.191329,0.644198,treatment
0.192271,0.644198,treatment
0.193214,0.644198,treatment
0.194156,0.644198,treatment
