time,survival,arm
0.0,0.951583,treatment
0.0,0.951583,treatment
0.0,0.951583,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.0,0.147114,treatment
0.000745,0.147114,treatment
0.00149,0.147114,treatment
0.002235,0.147114,treatment
0.002981,0.147114,treatment
0.003726,0.147114,treatment
0.004471,0.147114,treatment
0.005216,0.147114,treatment
0.005961,0.147114,treatment
0.006706,0.147114,treatment
0.007452,0.147114,treatment
0.008197,0.147114,treatment
0.008942,0.147114,treatment
0.009687,0.147114,treatment
0.010432,0.147114,treatment
0.011177,0.147114,treatment
0.011923,0.147114,treatment
0.012668,0.147114,treatment
0.013413,0.147114,treatment
0.014158,0.147114,treatment
0.014903,0.147114,treatment
0.015648,0.147114,treatment
0.016393,0.147114,treatment
0.151267,0.147114,treatment
0.152012,0.147114,treatment
0.152757,0.147114,treatment
0.153502,0.147114,treatment
0.154247,0.147114,treatment
0.154993,0.147114,treatment
0.155738,0.147114,treatment
0.156483,0.147114,treatment
0.157228,0.147114,treatment
0.157973,0.147114,treatment
0.158718,0.147114,treatment
0.159463,0.147114,treatment
0.160209,0.147114,treatment
0.160954,0.147114,treatment
0.161699,0.147114,treatment
0.165425,0.147114,treatment
0.16617,0.147114,treatment
0.166915,0.147114,treatment
0.176602,0.147114,treatment
0.177347,0.147114,treatment
0.178092,0.147114,treatment
0.182563,0.147114,treatment
0.183308,0.147114,treatment
0.184054,0.147114,treatment
0.197466,0.147114,treatment
0.198212,0.147114,treatment
0.198957,0.147114,treatment
0.210134,0.147114,treatment
0.210879,0.147114,treatment
0.211624,0.147114,treatment
0.21237,0.147114,treatment
0.213115,0.147114,treatment
0.21386,0.147114,treatment
0.214605,0.147114,treatment
0.21535,0.147114,treatment
0.216095,0.147114,treatment
0.221311,0.147114,treatment
0.222057,0.147114,treatment
0.222802,0.147114,treatment
0.233234,0.147114,treatment
0.233979,0.147114,treatment
0.234724,0.147114,treatment
0.235469,0.147114,treatment
0.23845,0.147114,treatment
0.239195,0.147114,treatment
0.23994,0.147114,treatment
0.245902,0.147114,treatment
0.246647,0.147114,treatment
0.247392,0.147114,treatment
0.248137,0.147114,treatment
0.322653,0.147114,treatment
0.323398,0.147114,treatment
0.324143,0.147114,treatment
0.379285,0.147114,treatment
0.38003,0.147114,treatment
0.380775,0.147114,treatment
0.406855,0.147114,treatment
0.407601,0.147114,treatment
0.408346,0.147114,treatment
0.461252,0.147114,treatment
0.461997,0.147114,treatment
0.462742,0.147114,treatment
0.463487,0.147114,treatment
0.464232,0.147114,treatment
0.464978,0.147114,treatment
0.509687,0.147114,treatment
0.510432,0.147114,treatment
0.511177,0.147114,treatment
0.514903,0.147114,treatment
0.515648,0.147114,treatment
0.516393,0.147114,treatment
0.526826,0.147114,treatment
0.527571,0.147114,treatment
0.528316,0.147114,treatment
0.544709,0.147114,treatment
0.545455,0.147114,treatment
0.5462,0.147114,treatment
0.583458,0.147114,treatment
0.584203,0.147114,treatment
0.584948,0.147114,treatment
0.598361,0.147114,treatment
0.599106,0.147114,treatment
0.599851,0.147114,treatment
0.608793,0.147114,treatment
0.609538,0.147114,treatment
0.610283,0.147114,treatment
0.718331,0.147114,treatment
0.719076,0.147114,treatment
0.719821,0.147114,treatment
0.723547,0.147114,treatment
0.724292,0.147114,treatment
0.725037,0.147114,treatment
0.753353,0.147114,treatment
0.754098,0.147114,treatment
0.754844,0.147114,treatment
0.755589,0.147114,treatment
0.756334,0.147114,treatment
0.757079,0.147114,treatment
0.757824,0.147114,treatment
0.758569,0.147114,treatment
0.759314,0.147114,treatment
0.76006,0.147114,treatment
0.760805,0.147114,treatment
0.76155,0.147114,treatment
0.762295,0.147114,treatment
0.76304,0.147114,treatment
0.763785,0.147114,treatment
0.764531,0.147114,treatment
0.765276,0.147114,treatment
0.766021,0.147114,treatment
0.766766,0.147114,treatment
0.767511,0.147114,treatment
0.768256,0.147114,treatment
0.769001,0.147114,treatment
0.769747,0.147114,treatment
0.770492,0.147114,treatment
0.771237,0.147114,treatment
0.771982,0.147114,treatment
0.772727,0.147114,treatment
0.773472,0.147114,treatment
0.774218,0.147114,treatment
0.774963,0.147114,treatment
0.775708,0.147114,treatment
0.776453,0.147114,treatment
0.777198,0.147114,treatment
0.777943,0.147114,treatment
0.778689,0.147114,treatment
0.779434,0.147114,treatment
0.780179,0.147114,treatment
0.780924,0.147114,treatment
0.781669,0.147114,treatment
0.782414,0.147114,treatment
0.783159,0.147114,treatment
0.783905,0.147114,treatment
0.78465,0.147114,treatment
0.785395,0.147114,treatment
0.78614,0.147114,treatment
0.786885,0.147114,treatment
0.78763,0.147114,treatment
0.788376,0.147114,treatment
0.789121,0.147114,treatment
0.789866,0.147114,treatment
0.790611,0.147114,treatment
0.791356,0.147114,treatment
0.792101,0.147114,treatment
0.792846,0.147114,treatment
0.793592,0.147114,treatment
0.794337,0.147114,treatment
0.795082,0.147114,treatment
0.795827,0.147114,treatment
0.796572,0.147114,treatment
0.797317,0.147114,treatment
0.798063,0.147114,treatment
0.798808,0.147114,treatment
0.799553,0.147114,treatment
0.800298,0.147114,treatment
0.801043,0.147114,treatment
0.801788,0.147114,treatment
0.802534,0.147114,treatment
0.803279,0.147114,treatment
0.804024,0.147114,treatment
0.804769,0.147114,treatment
0.805514,0.147114,treatment
0.806259,0.147114,treatment
0.807004,0.147114,treatment
0.80775,0.147114,treatment
0.808495,0.147114,treatment
0.80924,0.147114,treatment
0.809985,0.147114,treatment
0.81073,0.147114,treatment
0.811475,0.147114,treatment
0.812221,0.147114,treatment
0.812966,0.147114,treatment
0.813711,0.147114,treatment
0.814456,0.147114,treatment
0.815201,0.147114,treatment
0.815946,0.147114,treatment
0.816692,0.147114,treatment
0.817437,0.147114,treatment
0.818182,0.147114,treatment
0.818927,0.147114,treatment
0.819672,0.147114,treatment
0.820417,0.147114,treatment
0.821162,0.147114,treatment
0.821908,0.147114,treatment
0.822653,0.147114,treatment
0.823398,0.147114,treatment
0.824143,0.147114,treatment
0.824888,0.147114,treatment
0.825633,0.147114,treatment
0.826379,0.147114,treatment
0.827124,0.147114,treatment
0.827869,0.147114,treatment
0.828614,0.147114,treatment
0.829359,0.147114,treatment
0.830104,0.147114,treatment
0.830849,0.147114,treatment
0.831595,0.147114,treatment
0.83234,0.147114,treatment
0.0,1.0,control
0.0,1.0,control
0.0,1.0,control
0.0,1.0,control
0.0,1.0,control
0.0,1.0,control
0.0,1.0,control
0.0,1.0,control
0.0,1.0,control
0.0,1.0,control
0.0,1.0,control
0.0,1.0,control
0.0,1.0,control
0.0,1.0,control
0.0,1.0,control
0.0,1.0,control
0.0,1.0,control
0.0,1.0,control
0.0,0.777592,control
0.0,0.777592,control
0.0,0.777592,control
0.0,0.207358,control
0.0,0.207358,control
0.0,0.207358,control
0.0,0.207358,control
0.0,0.207358,control
0.032787,0.207358,control
0.033532,0.207358,control
0.034277,0.207358,control
0.068554,0.207358,control
0.0693,0.207358,control
0.070045,0.207358,control
0.222802,0.207358,control
0.223547,0.207358,control
0.224292,0.207358,control
0.350224,0.207358,control
0.350969,0.207358,control
0.351714,0.207358,control
0.352459,0.207358,control
0.353204,0.207358,control
0.353949,0.207358,control
0.354694,0.207358,control
0.35544,0.207358,control
0.356185,0.207358,control
0.35693,0.207358,control
0.357675,0.207358,control
0.35842,0.207358,control
0.359165,0.207358,control
0.359911,0.207358,control
0.360656,0.207358,control
0.361401,0.207358,control
0.362146,0.207358,control
0.362891,0.207358,control
0.363636,0.207358,control
0.364382,0.207358,control
0.365127,0.207358,control
0.365872,0.207358,control
0.366617,0.207358,control
0.367362,0.207358,control
0.368107,0.207358,control
0.368852,0.207358,control
0.369598,0.207358,control
0.370343,0.207358,control
0.371088,0.207358,control
0.371833,0.207358,control
0.372578,0.207358,control
0.373323,0.207358,control
0.374069,0.207358,control
0.374814,0.207358,control
0.375559,0.207358,control
0.376304,0.207358,control
0.377049,0.207358,control
0.377794,0.207358,control
0.378539,0.207358,control
0.379285,0.207358,control
0.38003,0.207358,control
0.380775,0.207358,control
0.38152,0.207358,control
0.382265,0.207358,control
0.38301,0.207358,control
0.383756,0.207358,control
0.384501,0.207358,control
0.385246,0.207358,control
0.385991,0.207358,control
0.386736,0.207358,control
0.387481,0.207358,control
0.388227,0.207358,control
0.388972,0.207358,control
0.389717,0.207358,control
0.390462,0.207358,control
0.391207,0.207358,control
0.391952,0.207358,control
0.392697,0.207358,control
0.393443,0.207358,control
0.394188,0.207358,control
0.394933,0.207358,control
0.395678,0.207358,control
0.396423,0.207358,control
0.397168,0.207358,control
0.397914,0.207358,control
0.398659,0.207358,control
0.399404,0.207358,control
0.400149,0.207358,control
0.400894,0.207358,control
0.482861,0.207358,control
0.483607,0.207358,control
0.484352,0.207358,control
0.485097,0.207358,control
0.485842,0.207358,control
0.486587,0.207358,control
0.487332,0.207358,control
0.488077,0.207358,control
0.488823,0.207358,control
0.489568,0.207358,control
0.490313,0.207358,control
0.491058,0.207358,control
0.491803,0.207358,control
0.492548,0.207358,control
0.493294,0.207358,control
0.494039,0.207358,control
0.494784,0.207358,control
0.495529,0.207358,control
0.496274,0.207358,control
0.554396,0.207358,control
0.555142,0.207358,control
0.555887,0.207358,control
0.557377,0.207358,control
0.558122,0.207358,control
0.558867,0.207358,control
0.592399,0.207358,control
0.593145,0.207358,control
0.59389,0.207358,control
0.649776,0.207358,control
0.650522,0.207358,control
0.651267,0.207358,control
0.786885,0.207358,control
0.78763,0.207358,control
0.788376,0.207358,control
0.921013,0.140468,control
0.921759,0.140468,control
0.922504,0.140468,control
0.923249,0.140468,control
0.923994,0.140468,control
0.924739,0.140468,control
0.925484,0.140468,control
0.92623,0.140468,control
0.926975,0.140468,control
0.92772,0.140468,control
0.928465,0.140468,control
0.92921,0.140468,control
0.929955,0.140468,control
0.9307,0.140468,control
0.931446,0.140468,control
0.932191,0.140468,control
0.932936,0.140468,control
0.933681,0.140468,control
0.934426,0.140468,control
0.935171,0.140468,control
0.935917,0.140468,control
0.936662,0.140468,control
0.937407,0.140468,control
0.938152,0.140468,control
0.938897,0.140468,control
0.939642,0.140468,control
0.940387,0.140468,control
0.941133,0.140468,control
0.941878,0.140468,control
0.942623,0.140468,control
0.943368,0.140468,control
0.944113,0.140468,control
0.944858,0.140468,control
0.945604,0.140468,control
0.946349,0.140468,control
0.947094,0.140468,control
0.947839,0.140468,control
0.948584,0.140468,control
0.949329,0.140468,control
0.950075,0.140468,control
0.95082,0.140468,control
0.951565,0.140468,control
0.95231,0.140468,control
0.953055,0.140468,control
0.9538,0.140468,control
0.954545,0.140468,control
0.955291,0.140468,control
0.956036,0.140468,control
0.956781,0.140468,control
0.957526,0.140468,control
0.958271,0.140468,control
0.959016,0.140468,control
0.959762,0.140468,control
0.960507,0.140468,control
0.961252,0.140468,control
0.961997,0.140468,control
0.962742,0.140468,control
0.963487,0.140468,control
0.964232,0.140468,control
0.964978,0.140468,control
0.965723,0.140468,control
0.966468,0.140468,control
0.967213,0.140468,control
0.967958,0.140468,control
0.968703,0.140468,control
0.969449,0.140468,control
0.970194,0.140468,control
0.970939,0.140468,control
0.971684,0.140468,control
0.972429,0.140468,control
