time,survival,arm
0.004762,1.0,treatment
0.005556,0.770433,treatment
0.006349,0.770433,treatment
0.007143,0.770433,treatment
0.007937,0.770433,treatment
0.00873,0.770433,treatment
0.009524,0.770433,treatment
0.010317,0.770433,treatment
0.011111,0.770433,treatment
0.011905,0.770433,treatment
0.012698,0.770433,treatment
0.013492,0.770433,treatment
0.014286,0.770433,treatment
0.015079,0.770433,treatment
0.015873,0.770433,treatment
0.016667,0.770433,treatment
0.01746,0.770433,treatment
0.018254,0.770433,treatment
0.019048,0.770433,treatment
0.019841,0.770433,treatment
0.020635,0.770433,treatment
0.021429,0.770433,treatment
0.022222,0.770433,treatment
0.023016,0.770433,treatment
0.02381,0.770433,treatment
0.024603,0.770433,treatment
0.025397,0.770433,treatment
0.02619,0.770433,treatment
0.026984,0.770433,treatment
0.027778,0.76863,treatment
0.028571,0.76863,treatment
0.029365,0.76863,treatment
0.030159,0.76863,treatment
0.030952,0.76863,treatment
0.031746,0.76863,treatment
0.03254,0.76863,treatment
0.033333,0.76863,treatment
0.034127,0.76863,treatment
0.034921,0.76863,treatment
0.035714,0.76863,treatment
0.036508,0.76863,treatment
0.037302,0.76863,treatment
0.038095,0.76863,treatment
0.038889,0.76863,treatment
0.039683,0.76863,treatment
0.040476,0.76863,treatment
0.04127,0.76863,treatment
0.042063,0.76863,treatment
0.042857,0.76863,treatment
0.043651,0.76863,treatment
0.044444,0.76863,treatment
0.045238,0.76863,treatment
0.046032,0.76863,treatment
0.046825,0.76863,treatment
0.047619,0.76863,treatment
0.048413,0.76863,treatment
0.049206,0.76863,treatment
0.05,0.76863,treatment
0.050794,0.76863,treatment
0.051587,0.76863,treatment
0.052381,0.76863,treatment
0.053175,0.76863,treatment
0.053968,0.76863,treatment
0.054762,0.76863,treatment
0.055556,0.76863,treatment
0.056349,0.76863,treatment
0.057143,0.76863,treatment
0.057937,0.76863,treatment
0.05873,0.76863,treatment
0.059524,0.76863,treatment
0.060317,0.76863,treatment
0.061111,0.76863,treatment
0.061905,0.76863,treatment
0.062698,0.76863,treatment
0.063492,0.76863,treatment
0.064286,0.76863,treatment
0.065079,0.76863,treatment
0.065873,0.76863,treatment
0.066667,0.76863,treatment
0.06746,0.76863,treatment
0.068254,0.76863,treatment
0.069048,0.76863,treatment
0.069841,0.76863,treatment
0.070635,0.76863,treatment
0.071429,0.76863,treatment
