time,survival,arm
0.0,0.782965,treatment
0.0,0.782717,treatment
0.0,0.782717,treatment
0.000321,0.782717,treatment
0.000642,0.782717,treatment
0.000963,0.782717,treatment
0.001284,0.782717,treatment
0.001605,0.782717,treatment
0.001926,0.782717,treatment
0.002247,0.782717,treatment
0.003531,0.096846,treatment
0.003852,0.096846,treatment
0.004173,0.096846,treatment
0.004494,0.096846,treatment
0.004815,0.096846,treatment
0.005136,0.096846,treatment
0.005457,0.096846,treatment
0.005778,0.096846,treatment
0.0061,0.096846,treatment
0.006421,0.096846,treatment
0.006742,0.096846,treatment
0.007063,0.096846,treatment
0.007384,0.096846,treatment
0.007705,0.096846,treatment
0.008026,0.096846,treatment
0.008347,0.096846,treatment
0.008668,0.096846,treatment
0.008989,0.096846,treatment
0.016051,0.083933,treatment
0.016372,0.083933,treatment
0.016693,0.083933,treatment
0.019262,0.083933,treatment
0.019583,0.083933,treatment
0.019904,0.083933,treatment
0.024719,0.047678,treatment
0.02504,0.047678,treatment
0.025361,0.047678,treatment
0.029213,0.047678,treatment
0.029535,0.047678,treatment
0.029856,0.047678,treatment
0.030819,0.047678,treatment
0.03114,0.047678,treatment
0.031461,0.047678,treatment
0.03756,0.047678,treatment
0.037881,0.047678,treatment
0.038202,0.047678,treatment
0.052648,0.047678,treatment
0.05297,0.047678,treatment
0.053291,0.047678,treatment
0.054896,0.047678,treatment
0.055217,0.047678,treatment
0.055538,0.047678,treatment
0.05939,0.047678,treatment
0.059711,0.047678,treatment
0.060032,0.047678,treatment
0.060353,0.047678,treatment
0.060674,0.047678,treatment
0.0626,0.047678,treatment
0.062921,0.047678,treatment
0.063242,0.047678,treatment
0.063884,0.047678,treatment
0.064205,0.047678,treatment
0.064526,0.047678,treatment
0.071589,0.047678,treatment
0.07191,0.047678,treatment
0.072231,0.047678,treatment
0.074799,0.047678,treatment
0.07512,0.047678,treatment
0.075441,0.047678,treatment
0.079936,0.047678,treatment
0.080257,0.047678,treatment
0.080578,0.047678,treatment
0.083146,0.047678,treatment
0.083467,0.047678,treatment
0.083788,0.047678,treatment
0.084109,0.047678,treatment
0.08443,0.047678,treatment
0.084751,0.047678,treatment
0.086998,0.047678,treatment
0.087319,0.047678,treatment
0.08764,0.047678,treatment
0.09053,0.047678,treatment
0.090851,0.047678,treatment
0.091172,0.047678,treatment
0.091493,0.047678,treatment
0.09374,0.047678,treatment
0.094061,0.047678,treatment
0.094382,0.047678,treatment
0.099839,0.047678,treatment
0.100161,0.047678,treatment
0.100482,0.047678,treatment
0.10305,0.047678,treatment
0.103371,0.047678,treatment
0.103692,0.047678,treatment
0.106581,0.047678,treatment
0.106902,0.047678,treatment
0.107223,0.047678,treatment
0.107865,0.047678,treatment
0.108186,0.047678,treatment
0.108507,0.047678,treatment
0.118459,0.047678,treatment
0.11878,0.047678,treatment
0.119101,0.047678,treatment
0.119422,0.047678,treatment
0.119743,0.047678,treatment
0.120064,0.047678,treatment
0.126485,0.047678,treatment
0.126806,0.047678,treatment
0.127127,0.047678,treatment
0.129695,0.047678,treatment
0.130016,0.047678,treatment
0.130337,0.047678,treatment
0.135152,0.047678,treatment
0.135474,0.047678,treatment
0.135795,0.047678,treatment
0.141894,0.047678,treatment
0.142215,0.047678,treatment
0.142536,0.047678,treatment
0.142857,0.047678,treatment
0.143178,0.047678,treatment
0.143499,0.047678,treatment
0.147994,0.047678,treatment
0.148315,0.047678,treatment
0.148636,0.047678,treatment
0.154093,0.047678,treatment
0.154414,0.047678,treatment
0.154735,0.047678,treatment
0.156982,0.047678,treatment
0.157303,0.047678,treatment
0.157624,0.047678,treatment
0.15923,0.047678,treatment
0.159551,0.047678,treatment
0.159872,0.047678,treatment
0.166613,0.047678,treatment
0.166934,0.047678,treatment
0.167255,0.047678,treatment
0.171108,0.047678,treatment
0.171429,0.047678,treatment
0.17175,0.047678,treatment
0.173355,0.047678,treatment
0.173676,0.047678,treatment
0.173997,0.047678,treatment
0.176565,0.047678,treatment
0.176886,0.047678,treatment
0.177207,0.047678,treatment
0.18427,0.047678,treatment
0.184591,0.047678,treatment
0.184912,0.047678,treatment
0.191974,0.047678,treatment
0.192295,0.047678,treatment
0.192616,0.047678,treatment
0.193579,0.047678,treatment
0.1939,0.047678,treatment
0.194222,0.047678,treatment
0.194864,0.047678,treatment
0.195185,0.047678,treatment
0.195506,0.047678,treatment
0.196469,0.047678,treatment
0.19679,0.047678,treatment
0.197111,0.047678,treatment
0.201284,0.047678,treatment
0.201605,0.047678,treatment
0.201926,0.047678,treatment
0.203852,0.047678,treatment
0.204173,0.047678,treatment
0.204494,0.047678,treatment
0.206421,0.047678,treatment
0.206742,0.047678,treatment
0.207063,0.047678,treatment
0.212841,0.047678,treatment
0.213162,0.047678,treatment
0.213483,0.047678,treatment
0.253612,0.047678,treatment
0.253933,0.047678,treatment
0.254254,0.047678,treatment
0.725201,0.047678,treatment
0.725522,0.047678,treatment
0.725843,0.047678,treatment
0.726164,0.047678,treatment
0.726485,0.047678,treatment
0.726806,0.047678,treatment
0.727127,0.047678,treatment
0.727448,0.047678,treatment
0.727769,0.047678,treatment
0.72809,0.047678,treatment
0.728411,0.047678,treatment
0.733226,0.047678,treatment
0.733547,0.047678,treatment
0.733868,0.047678,treatment
0.735474,0.047678,treatment
0.735795,0.047678,treatment
0.736116,0.047678,treatment
0.736437,0.047678,treatment
0.736758,0.047678,treatment
0.737079,0.047678,treatment
0.7374,0.047678,treatment
0.737721,0.047678,treatment
0.738042,0.047678,treatment
0.738363,0.047678,treatment
0.74382,0.047678,treatment
0.744141,0.047678,treatment
0.744462,0.047678,treatment
0.75634,0.047678,treatment
0.756661,0.047678,treatment
0.756982,0.047678,treatment
0.757303,0.047678,treatment
0.757624,0.047678,treatment
0.758587,0.047678,treatment
0.758909,0.047678,treatment
0.75923,0.047678,treatment
0.759551,0.047678,treatment
0.759872,0.047678,treatment
0.760193,0.047678,treatment
0.760514,0.047678,treatment
0.760835,0.047678,treatment
0.761156,0.047678,treatment
0.761477,0.047678,treatment
0.761798,0.047678,treatment
0.762119,0.047678,treatment
0.76244,0.047678,treatment
0.764366,0.047678,treatment
0.764687,0.047678,treatment
0.765008,0.047678,treatment
0.765329,0.047678,treatment
0.76565,0.047678,treatment
0.765971,0.047678,treatment
0.766292,0.047678,treatment
0.766613,0.047678,treatment
0.766934,0.047678,treatment
0.767255,0.047678,treatment
0.767576,0.047678,treatment
0.767897,0.047678,treatment
0.768218,0.047678,treatment
0.768539,0.047678,treatment
0.76886,0.047678,treatment
0.769181,0.047678,treatment
0.769502,0.047678,treatment
0.769823,0.047678,treatment
0.770144,0.047678,treatment
0.770465,0.047678,treatment
0.770787,0.047678,treatment
0.771108,0.047678,treatment
0.772713,0.047678,treatment
0.773034,0.047678,treatment
0.773355,0.047678,treatment
0.773676,0.047678,treatment
0.773997,0.047678,treatment
0.774318,0.047678,treatment
0.774639,0.047678,treatment
0.77496,0.047678,treatment
0.775281,0.047678,treatment
0.775602,0.047678,treatment
0.775923,0.047678,treatment
0.776244,0.047678,treatment
0.776565,0.047678,treatment
0.777849,0.047678,treatment
0.77817,0.047678,treatment
0.778491,0.047678,treatment
0.782343,0.047678,treatment
0.782665,0.047678,treatment
0.782986,0.047678,treatment
0.795506,0.047678,treatment
0.795827,0.047678,treatment
0.796148,0.047678,treatment
0.79679,0.047678,treatment
0.797111,0.047678,treatment
0.797432,0.047678,treatment
0.797753,0.047678,treatment
0.798074,0.047678,treatment
0.798395,0.047678,treatment
0.804173,0.047678,treatment
0.804494,0.047678,treatment
0.804815,0.047678,treatment
0.807063,1e-06,treatment
0.807384,1e-06,treatment
0.807705,1e-06,treatment
0.813804,1e-06,treatment
0.814125,1e-06,treatment
0.814446,1e-06,treatment
0.816051,1e-06,treatment
0.816372,1e-06,treatment
0.816693,1e-06,treatment
0.819904,1e-06,treatment
0.820225,1e-06,treatment
0.820546,1e-06,treatment
0.822151,1e-06,treatment
0.822472,1e-06,treatment
0.822793,1e-06,treatment
0.831461,1e-06,treatment
0.831782,1e-06,treatment
0.832103,1e-06,treatment
0.833387,1e-06,treatment
0.833708,1e-06,treatment
0.834029,1e-06,treatment
0.836597,1e-06,treatment
0.836918,1e-06,treatment
0.837239,1e-06,treatment
0.841413,1e-06,treatment
0.841734,1e-06,treatment
0.842055,1e-06,treatment
0.845586,1e-06,treatment
0.845907,1e-06,treatment
0.846228,1e-06,treatment
0.851364,1e-06,treatment
0.851685,1e-06,treatment
0.852006,1e-06,treatment
0.853933,1e-06,treatment
0.854254,1e-06,treatment
0.854575,1e-06,treatment
0.855538,1e-06,treatment
0.855859,1e-06,treatment
0.85618,1e-06,treatment
0.856822,1e-06,treatment
0.857143,1e-06,treatment
0.857464,1e-06,treatment
0.860995,1e-06,treatment
0.861316,1e-06,treatment
0.861637,1e-06,treatment
0.862279,1e-06,treatment
0.8626,1e-06,treatment
0.862921,1e-06,treatment
0.863242,1e-06,treatment
0.865811,1e-06,treatment
0.866132,1e-06,treatment
0.866453,1e-06,treatment
0.870626,1e-06,treatment
0.870947,1e-06,treatment
0.871268,1e-06,treatment
0.872873,1e-06,treatment
0.873194,1e-06,treatment
