time,survival,arm
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.0,1.0,treatment
0.000463,1.0,treatment
0.000926,1.0,treatment
0.00139,1.0,treatment
0.001853,1.0,treatment
0.002316,1.0,treatment
0.002779,1.0,treatment
0.003242,1.0,treatment
0.003705,1.0,treatment
0.004169,1.0,treatment
0.004632,1.0,treatment
0.005095,1.0,treatment
0.005558,1.0,treatment
0.006021,1.0,treatment
0.006484,1.0,treatment
0.006948,1.0,treatment
0.007411,1.0,treatment
0.007874,1.0,treatment
0.008337,1.0,treatment
0.0088,1.0,treatment
0.009264,1.0,treatment
0.009727,1.0,treatment
0.01019,1.0,treatment
0.010653,1.0,treatment
0.011116,1.0,treatment
0.011579,1.0,treatment
0.012043,1.0,treatment
0.012506,1.0,treatment
0.012969,1.0,treatment
0.013432,1.0,treatment
0.013895,1.0,treatment
0.014358,1.0,treatment
0.014822,1.0,treatment
0.015285,1.0,treatment
0.015748,1.0,treatment
0.016211,1.0,treatment
0.016674,1.0,treatment
0.017138,1.0,treatment
0.017601,1.0,treatment
0.018064,1.0,treatment
0.018527,1.0,treatment
0.01899,1.0,treatment
0.019453,1.0,treatment
0.019917,1.0,treatment
0.02038,1.0,treatment
0.020843,1.0,treatment
0.021306,1.0,treatment
0.021769,1.0,treatment
0.022233,1.0,treatment
0.022696,1.0,treatment
0.023159,1.0,treatment
0.023622,1.0,treatment
0.024085,1.0,treatment
0.024548,1.0,treatment
0.025012,1.0,treatment
0.025475,1.0,treatment
0.025938,1.0,treatment
0.026401,1.0,treatment
0.026864,1.0,treatment
0.027327,1.0,treatment
0.027791,1.0,treatment
0.028254,1.0,treatment
0.028717,1.0,treatment
0.02918,1.0,treatment
0.029643,1.0,treatment
0.030107,1.0,treatment
0.03057,1.0,treatment
0.031033,1.0,treatment
0.031496,1.0,treatment
0.031959,1.0,treatment
0.032422,1.0,treatment
0.032886,1.0,treatment
0.033349,1.0,treatment
0.033812,1.0,treatment
0.034275,1.0,treatment
0.034738,1.0,treatment
0.035201,1.0,treatment
0.035665,1.0,treatment
0.036128,1.0,treatment
0.036591,1.0,treatment
0.037054,1.0,treatment
0.037517,1.0,treatment
0.037981,1.0,treatment
0.038444,1.0,treatment
0.038907,1.0,treatment
0.03937,1.0,treatment
0.039833,1.0,treatment
0.040296,1.0,treatment
0.04076,1.0,treatment
0.041223,1.0,treatment
0.041686,1.0,treatment
0.042149,1.0,treatment
0.042612,1.0,treatment
0.043075,1.0,treatment
0.043539,1.0,treatment
0.044002,1.0,treatment
0.044465,1.0,treatment
0.044928,1.0,treatment
0.045391,1.0,treatment
0.045855,1.0,treatment
0.046318,1.0,treatment
0.046781,1.0,treatment
0.047244,1.0,treatment
0.047707,1.0,treatment
0.04817,1.0,treatment
0.048634,1.0,treatment
0.049097,1.0,treatment
0.04956,1.0,treatment
0.050023,1.0,treatment
0.050486,1.0,treatment
0.05095,1.0,treatment
0.051413,1.0,treatment
0.051876,1.0,treatment
0.052339,1.0,treatment
0.052802,1.0,treatment
0.053265,1.0,treatment
0.053729,1.0,treatment
0.054192,1.0,treatment
0.054655,1.0,treatment
0.055118,1.0,treatment
0.055581,1.0,treatment
0.056044,1.0,treatment
0.056508,1.0,treatment
0.056971,1.0,treatment
0.057434,1.0,treatment
0.057897,1.0,treatment
0.05836,1.0,treatment
0.058824,1.0,treatment
0.059287,1.0,treatment
0.05975,1.0,treatment
0.060213,1.0,treatment
0.060676,1.0,treatment
0.061139,1.0,treatment
0.061603,1.0,treatment
0.062066,1.0,treatment
0.062529,1.0,treatment
0.062992,1.0,treatment
0.063455,1.0,treatment
0.063918,1.0,treatment
0.064382,1.0,treatment
0.064845,1.0,treatment
0.065308,1.0,treatment
0.065771,1.0,treatment
0.066234,1.0,treatment
0.066698,1.0,treatment
0.067161,1.0,treatment
0.067624,1.0,treatment
0.068087,1.0,treatment
0.06855,1.0,treatment
0.069013,1.0,treatment
0.069477,1.0,treatment
0.06994,1.0,treatment
0.070403,1.0,treatment
0.070866,1.0,treatment
0.071329,1.0,treatment
0.071792,1.0,treatment
0.072256,1.0,treatment
0.072719,1.0,treatment
0.073182,1.0,treatment
0.073645,1.0,treatment
0.074108,1.0,treatment
0.074572,1.0,treatment
0.075035,1.0,treatment
0.075498,1.0,treatment
0.075961,1.0,treatment
0.076424,1.0,treatment
0.076887,1.0,treatment
0.077351,1.0,treatment
0.077814,1.0,treatment
0.078277,1.0,treatment
0.07874,1.0,treatment
0.079203,1.0,treatment
0.079667,1.0,treatment
0.08013,1.0,treatment
0.080593,1.0,treatment
0.081056,1.0,treatment
0.081519,1.0,treatment
0.081982,1.0,treatment
0.082446,1.0,treatment
0.082909,1.0,treatment
0.083372,1.0,treatment
0.083835,1.0,treatment
0.084298,1.0,treatment
0.084761,1.0,treatment
0.085225,1.0,treatment
0.085688,1.0,treatment
0.086151,1.0,treatment
0.086614,1.0,treatment
0.087077,1.0,treatment
0.087541,1.0,treatment
0.088004,1.0,treatment
0.088467,1.0,treatment
0.08893,1.0,treatment
0.089393,1.0,treatment
0.089856,1.0,treatment
0.09032,1.0,treatment
0.090783,1.0,treatment
0.091246,1.0,treatment
0.091709,1.0,treatment
0.092172,1.0,treatment
0.092635,1.0,treatment
0.093099,1.0,treatment
0.093562,1.0,treatment
0.094025,1.0,treatment
0.094488,1.0,treatment
0.094951,1.0,treatment
0.095415,1.0,treatment
0.095878,1.0,treatment
0.096341,1.0,treatment
0.096804,1.0,treatment
0.097267,1.0,treatment
0.09773,1.0,treatment
0.098194,1.0,treatment
0.098657,1.0,treatment
0.09912,1.0,treatment
0.099583,1.0,treatment
0.100046,1.0,treatment
0.100509,1.0,treatment
0.100973,1.0,treatment
0.101436,1.0,treatment
0.101899,1.0,treatment
0.102362,1.0,treatment
0.102825,1.0,treatment
0.103289,1.0,treatment
0.103752,1.0,treatment
0.104215,1.0,treatment
