time,survival,arm
0.037981,0.880392,treatment
0.038444,0.880392,treatment
0.038907,0.880392,treatment
0.042149,0.430719,treatment
0.042612,0.430719,treatment
0.043075,0.430719,treatment
0.043539,0.430719,treatment
0.044465,0.430719,treatment
0.044928,0.430719,treatment
0.045391,0.430719,treatment
0.045855,0.430719,treatment
0.046318,0.430719,treatment
0.046781,0.430719,treatment
0.05095,0.430719,treatment
0.051413,0.430719,treatment
0.051876,0.430719,treatment
0.052339,0.430719,treatment
0.052802,0.430719,treatment
0.053265,0.430719,treatment
0.054655,0.430719,treatment
0.055118,0.430719,treatment
0.055581,0.430719,treatment
0.056044,0.430719,treatment
0.056971,0.079085,treatment
0.057434,0.079085,treatment
0.057897,0.079085,treatment
0.062529,0.079085,treatment
0.062992,0.079085,treatment
0.063455,0.079085,treatment
0.064382,0.079085,treatment
0.064845,0.079085,treatment
0.065308,0.079085,treatment
0.072256,0.079085,treatment
0.072719,0.079085,treatment
0.073182,0.079085,treatment
0.074108,0.075163,treatment
0.074572,0.075163,treatment
0.075035,0.075163,treatment
0.076887,0.075163,treatment
0.077351,0.075163,treatment
0.077814,0.075163,treatment
0.07874,0.075163,treatment
0.079203,0.075163,treatment
0.079667,0.075163,treatment
0.08013,0.075163,treatment
0.083835,0.075163,treatment
0.084298,0.075163,treatment
0.084761,0.075163,treatment
0.090783,0.037255,treatment
0.091246,0.037255,treatment
0.091709,0.037255,treatment
0.093562,0.037255,treatment
0.094025,0.037255,treatment
0.094488,0.037255,treatment
0.097267,0.037255,treatment
0.09773,0.037255,treatment
0.098194,0.037255,treatment
0.09912,0.037255,treatment
0.099583,0.037255,treatment
0.100046,0.037255,treatment
0.100509,0.037255,treatment
0.100973,0.037255,treatment
0.101436,0.037255,treatment
0.101899,0.037255,treatment
0.102362,0.037255,treatment
0.106994,0.037255,treatment
0.107457,0.037255,treatment
0.10792,0.037255,treatment
0.108384,0.037255,treatment
0.108847,0.037255,treatment
0.111626,0.037255,treatment
0.112089,0.037255,treatment
0.112552,0.037255,treatment
0.115794,0.009804,treatment
0.116258,0.009804,treatment
0.116721,0.009804,treatment
0.117184,0.009804,treatment
0.144048,0.009804,treatment
0.144511,0.009804,treatment
0.144975,0.009804,treatment
0.145901,0.009804,treatment
0.146364,0.009804,treatment
0.146827,0.009804,treatment
0.160259,0.009804,treatment
0.160723,0.009804,treatment
0.161186,0.009804,treatment
0.171376,0.009804,treatment
0.171839,0.009804,treatment
0.172302,0.009804,treatment
0.177397,0.009804,treatment
0.17786,0.009804,treatment
0.178323,0.009804,treatment
0.180176,0.009804,treatment
0.180639,0.009804,treatment
0.181102,0.009804,treatment
0.181566,0.009804,treatment
0.184345,0.009804,treatment
0.184808,0.009804,treatment
0.185271,0.009804,treatment
0.185734,0.009804,treatment
0.186197,0.009804,treatment
0.18666,0.009804,treatment
0.187124,0.009804,treatment
0.193145,0.009804,treatment
0.193608,0.009804,treatment
0.194071,0.009804,treatment
0.194535,0.009804,treatment
0.199166,0.009804,treatment
0.199629,0.009804,treatment
0.200093,0.009804,treatment
0.203335,0.009804,treatment
0.203798,0.009804,treatment
0.204261,0.009804,treatment
0.204724,0.009804,treatment
0.205188,0.009804,treatment
0.205651,0.009804,treatment
0.206114,0.009804,treatment
0.206577,0.009804,treatment
0.20704,0.009804,treatment
0.207503,0.009804,treatment
0.207967,0.009804,treatment
0.20843,0.009804,treatment
0.208893,0.009804,treatment
0.209356,0.009804,treatment
0.209819,0.009804,treatment
0.210283,0.009804,treatment
0.215841,0.009804,treatment
0.216304,0.009804,treatment
0.216767,0.009804,treatment
0.21723,0.009804,treatment
0.217693,0.009804,treatment
0.218157,0.009804,treatment
0.234831,0.009804,treatment
0.235294,0.009804,treatment
0.235757,0.009804,treatment
0.239463,0.009804,treatment
0.239926,0.009804,treatment
0.240389,0.009804,treatment
0.240852,0.009804,treatment
0.241315,0.009804,treatment
0.241779,0.009804,treatment
0.242242,0.009804,treatment
0.249653,0.009804,treatment
0.250116,0.009804,treatment
0.250579,0.009804,treatment
0.251042,0.009804,treatment
0.254748,0.009804,treatment
0.255211,0.009804,treatment
0.255674,0.009804,treatment
0.256137,0.009804,treatment
0.2566,0.009804,treatment
0.257063,0.009804,treatment
0.25799,0.009804,treatment
0.258453,0.009804,treatment
0.258916,0.009804,treatment
0.259379,0.009804,treatment
0.259843,0.009804,treatment
0.260306,0.009804,treatment
0.263085,0.009804,treatment
0.263548,0.009804,treatment
0.264011,0.009804,treatment
0.264474,0.009804,treatment
0.264937,0.009804,treatment
0.265401,0.009804,treatment
0.265864,0.009804,treatment
0.295044,0.009804,treatment
0.295507,0.009804,treatment
0.29597,0.009804,treatment
0.299676,0.009804,treatment
0.300139,0.009804,treatment
0.300602,0.009804,treatment
0.311718,0.009804,treatment
0.312182,0.009804,treatment
0.312645,0.009804,treatment
0.326077,0.009804,treatment
0.32654,0.009804,treatment
0.327003,0.009804,treatment
0.327466,0.009804,treatment
0.32793,0.009804,treatment
0.328856,0.009804,treatment
0.329319,0.009804,treatment
0.329782,1e-06,treatment
0.330245,1e-06,treatment
0.330709,1e-06,treatment
0.334877,1e-06,treatment
0.33534,1e-06,treatment
0.335804,1e-06,treatment
0.336267,1e-06,treatment
0.339972,1e-06,treatment
0.340435,1e-06,treatment
0.340899,1e-06,treatment
0.341362,1e-06,treatment
0.349236,1e-06,treatment
0.349699,1e-06,treatment
0.350162,1e-06,treatment
0.350625,1e-06,treatment
0.394627,1e-06,treatment
0.39509,1e-06,treatment
0.395553,1e-06,treatment
0.396017,1e-06,treatment
0.39648,1e-06,treatment
0.396943,1e-06,treatment
0.397406,1e-06,treatment
0.397869,1e-06,treatment
0.401112,1e-06,treatment
0.401575,1e-06,treatment
0.402038,1e-06,treatment
0.403428,1e-06,treatment
0.403891,1e-06,treatment
0.404354,1e-06,treatment
0.404817,1e-06,treatment
0.40528,1e-06,treatment
0.405743,1e-06,treatment
0.406207,1e-06,treatment
0.40667,1e-06,treatment
0.407133,1e-06,treatment
0.407596,1e-06,treatment
0.408059,1e-06,treatment
0.408522,1e-06,treatment
0.408986,1e-06,treatment
0.417786,1e-06,treatment
0.418249,1e-06,treatment
0.418712,1e-06,treatment
0.421491,1e-06,treatment
0.421955,1e-06,treatment
0.422418,1e-06,treatment
0.427513,1e-06,treatment
0.427976,1e-06,treatment
0.428439,1e-06,treatment
0.431681,1e-06,treatment
0.432145,1e-06,treatment
0.432608,1e-06,treatment
0.433071,1e-06,treatment
0.433534,1e-06,treatment
0.433997,1e-06,treatment
0.436313,1e-06,treatment
0.436776,1e-06,treatment
0.437239,1e-06,treatment
0.437703,1e-06,treatment
0.438166,1e-06,treatment
0.438629,1e-06,treatment
0.439092,1e-06,treatment
0.440482,1e-06,treatment
0.440945,1e-06,treatment
0.441408,1e-06,treatment
0.442334,1e-06,treatment
0.442798,1e-06,treatment
0.443261,1e-06,treatment
0.443724,1e-06,treatment
0.444187,1e-06,treatment
0.44465,1e-06,treatment
0.447893,1e-06,treatment
0.448356,1e-06,treatment
0.448819,1e-06,treatment
0.449282,1e-06,treatment
0.449745,1e-06,treatment
0.450208,1e-06,treatment
0.450672,1e-06,treatment
0.451135,1e-06,treatment
0.453914,1e-06,treatment
0.454377,1e-06,treatment
0.45484,1e-06,treatment
0.456693,1e-06,treatment
0.457156,1e-06,treatment
0.457619,1e-06,treatment
0.458082,1e-06,treatment
0.505327,1e-06,treatment
0.50579,1e-06,treatment
0.506253,1e-06,treatment
0.506716,1e-06,treatment
0.509032,1e-06,treatment
0.509495,1e-06,treatment
0.509958,1e-06,treatment
0.510421,1e-06,treatment
0.510885,1e-06,treatment
0.511348,1e-06,treatment
0.511811,1e-06,treatment
0.512274,1e-06,treatment
0.512737,1e-06,treatment
0.513201,1e-06,treatment
0.513664,1e-06,treatment
0.514127,1e-06,treatment
0.51459,1e-06,treatment
0.515053,1e-06,treatment
0.515516,1e-06,treatment
0.51598,1e-06,treatment
0.516443,1e-06,treatment
0.516906,1e-06,treatment
0.517369,1e-06,treatment
0.517832,1e-06,treatment
0.518296,1e-06,treatment
0.518759,1e-06,treatment
0.522464,1e-06,treatment
0.522927,1e-06,treatment
0.52339,1e-06,treatment
0.523854,1e-06,treatment
0.524317,1e-06,treatment
0.52478,1e-06,treatment
0.52617,1e-06,treatment
0.526633,1e-06,treatment
0.527096,1e-06,treatment
0.528022,1e-06,treatment
0.528485,1e-06,treatment
0.528949,1e-06,treatment
0.531264,1e-06,treatment
0.531728,1e-06,treatment
0.532191,1e-06,treatment
0.532654,1e-06,treatment
0.533117,1e-06,treatment
0.53358,1e-06,treatment
0.534044,1e-06,treatment
