time,survival,arm
0.019917,1.0,treatment
0.02038,1.0,treatment
0.020843,1.0,treatment
0.03057,1.0,treatment
0.031033,0.403388,treatment
0.031496,0.403388,treatment
0.031959,0.403388,treatment
0.032422,0.403388,treatment
0.032886,0.403388,treatment
0.033349,0.403388,treatment
0.033812,0.403388,treatment
0.034275,0.403388,treatment
0.034738,0.403388,treatment
0.035201,0.403388,treatment
0.035665,0.403388,treatment
0.036128,0.403388,treatment
0.036591,0.403388,treatment
0.037054,0.403388,treatment
0.037517,0.403388,treatment
0.037981,0.403388,treatment
0.038444,0.403388,treatment
0.038907,0.403388,treatment
0.03937,0.403388,treatment
0.039833,0.403388,treatment
0.040296,0.403388,treatment
0.04076,0.403388,treatment
0.041223,0.403388,treatment
0.041686,0.403388,treatment
0.042149,0.403388,treatment
0.042612,0.403388,treatment
0.043075,0.403388,treatment
0.043539,0.403388,treatment
0.044002,0.403388,treatment
0.044465,0.403388,treatment
0.044928,0.403388,treatment
0.045391,0.403388,treatment
0.045855,0.403388,treatment
0.046318,0.403388,treatment
0.046781,0.403388,treatment
0.047244,0.403388,treatment
0.047707,0.403388,treatment
0.04817,0.403388,treatment
0.048634,0.403388,treatment
0.049097,0.403388,treatment
0.04956,0.403388,treatment
0.050023,0.403388,treatment
0.050486,0.403388,treatment
0.05095,0.403388,treatment
0.051413,0.403388,treatment
0.051876,0.403388,treatment
0.052339,0.403388,treatment
0.052802,0.403388,treatment
0.053265,0.403388,treatment
0.053729,0.403388,treatment
0.054192,0.403388,treatment
0.054655,0.401271,treatment
0.055118,0.399682,treatment
0.055581,0.399682,treatment
0.056044,0.399682,treatment
0.056508,0.399682,treatment
0.056971,0.399682,treatment
0.057434,0.399682,treatment
0.057897,0.399682,treatment
0.05836,0.399682,treatment
0.058824,0.399682,treatment
0.059287,0.399682,treatment
0.05975,0.399682,treatment
0.060213,0.399682,treatment
0.060676,0.399682,treatment
0.061139,0.399682,treatment
0.061603,0.399682,treatment
0.062066,0.399682,treatment
0.062529,0.399682,treatment
0.062992,0.399682,treatment
0.063455,0.31657,treatment
0.063918,0.31657,treatment
0.064382,0.31657,treatment
0.064845,0.31657,treatment
0.065308,0.31657,treatment
0.065771,0.31657,treatment
0.066234,0.31657,treatment
0.066698,0.31657,treatment
0.067161,0.31657,treatment
0.067624,0.31657,treatment
0.068087,0.31657,treatment
0.06855,0.31657,treatment
0.069013,0.31657,treatment
0.069477,0.31657,treatment
0.06994,0.314981,treatment
0.070403,0.314981,treatment
0.070866,0.314981,treatment
0.071329,0.314981,treatment
0.071792,0.314981,treatment
0.072256,0.314981,treatment
0.072719,0.314981,treatment
