time,survival,arm
0.046592,1.0,treatment
0.047288,1.0,treatment
0.047983,1.0,treatment
0.048679,1.0,treatment
0.049374,1.0,treatment
0.05007,1.0,treatment
0.050765,1.0,treatment
0.05146,1.0,treatment
0.052156,1.0,treatment
0.052851,1.0,treatment
0.053547,1.0,treatment
0.054242,1.0,treatment
0.054937,1.0,treatment
0.055633,1.0,treatment
0.056328,1.0,treatment
0.057024,1.0,treatment
0.057719,1.0,treatment
0.058414,1.0,treatment
0.05911,1.0,treatment
0.059805,1.0,treatment
0.060501,1.0,treatment
0.061196,1.0,treatment
0.061892,1.0,treatment
0.062587,1.0,treatment
0.063282,1.0,treatment
0.063978,1.0,treatment
0.064673,1.0,treatment
0.065369,1.0,treatment
0.066064,1.0,treatment
0.066759,1.0,treatment
0.067455,1.0,treatment
0.06815,1.0,treatment
0.068846,1.0,treatment
0.069541,1.0,treatment
0.070236,1.0,treatment
0.070932,1.0,treatment
0.071627,1.0,treatment
0.072323,1.0,treatment
0.073018,1.0,treatment
0.073713,1.0,treatment
0.074409,1.0,treatment
0.075104,1.0,treatment
0.0758,1.0,treatment
0.076495,1.0,treatment
0.077191,1.0,treatment
0.077886,1.0,treatment
0.078581,1.0,treatment
0.079277,1.0,treatment
0.079972,1.0,treatment
0.080668,1.0,treatment
0.081363,1.0,treatment
0.082058,1.0,treatment
0.082754,1.0,treatment
0.083449,1.0,treatment
0.084145,1.0,treatment
0.08484,1.0,treatment
0.085535,1.0,treatment
0.086231,1.0,treatment
0.086926,1.0,treatment
0.087622,1.0,treatment
0.088317,1.0,treatment
0.089013,1.0,treatment
0.089708,1.0,treatment
0.090403,1.0,treatment
0.091099,1.0,treatment
0.091794,1.0,treatment
0.09249,1.0,treatment
0.093185,1.0,treatment
0.09388,1.0,treatment
0.094576,1.0,treatment
0.095271,1.0,treatment
0.095967,1.0,treatment
0.096662,1.0,treatment
0.097357,1.0,treatment
0.098053,1.0,treatment
0.098748,1.0,treatment
0.099444,1.0,treatment
0.100139,1.0,treatment
0.100834,1.0,treatment
0.10153,1.0,treatment
0.102225,1.0,treatment
0.102921,1.0,treatment
0.103616,1.0,treatment
0.104312,1.0,treatment
0.105007,1.0,treatment
0.105702,1.0,treatment
0.106398,1.0,treatment
0.107093,1.0,treatment
0.107789,1.0,treatment
0.108484,1.0,treatment
0.109179,1.0,treatment
0.109875,1.0,treatment
0.11057,1.0,treatment
0.111266,1.0,treatment
0.111961,1.0,treatment
0.112656,1.0,treatment
0.113352,1.0,treatment
0.114047,1.0,treatment
0.114743,1.0,treatment
0.115438,1.0,treatment
0.116134,1.0,treatment
0.116829,1.0,treatment
0.117524,1.0,treatment
0.11822,1.0,treatment
0.118915,1.0,treatment
0.119611,1.0,treatment
0.120306,1.0,treatment
0.121001,1.0,treatment
0.121697,1.0,treatment
0.122392,1.0,treatment
0.123088,1.0,treatment
0.123783,1.0,treatment
0.124478,1.0,treatment
0.125174,1.0,treatment
0.125869,1.0,treatment
0.126565,1.0,treatment
0.12726,1.0,treatment
0.127955,1.0,treatment
0.128651,1.0,treatment
0.129346,1.0,treatment
0.130042,1.0,treatment
0.130737,1.0,treatment
0.131433,1.0,treatment
0.132128,1.0,treatment
0.132823,1.0,treatment
0.133519,1.0,treatment
0.134214,1.0,treatment
0.13491,1.0,treatment
0.135605,1.0,treatment
0.1363,1.0,treatment
0.136996,1.0,treatment
0.137691,1.0,treatment
0.138387,1.0,treatment
0.139082,1.0,treatment
0.139777,1.0,treatment
0.140473,1.0,treatment
0.141168,1.0,treatment
0.141864,1.0,treatment
0.142559,1.0,treatment
0.143255,1.0,treatment
0.14395,1.0,treatment
0.144645,1.0,treatment
0.145341,1.0,treatment
0.146036,1.0,treatment
0.146732,1.0,treatment
0.147427,1.0,treatment
0.148122,1.0,treatment
0.148818,1.0,treatment
0.149513,1.0,treatment
0.150209,1.0,treatment
0.150904,1.0,treatment
0.151599,1.0,treatment
0.152295,1.0,treatment
0.15299,1.0,treatment
0.153686,1.0,treatment
0.154381,1.0,treatment
0.155076,1.0,treatment
0.155772,1.0,treatment
0.156467,1.0,treatment
0.157163,1.0,treatment
0.157858,1.0,treatment
0.158554,1.0,treatment
0.159249,1.0,treatment
0.159944,1.0,treatment
0.16064,1.0,treatment
0.161335,1.0,treatment
0.162031,1.0,treatment
0.162726,1.0,treatment
0.163421,1.0,treatment
0.164117,1.0,treatment
0.164812,1.0,treatment
0.165508,1.0,treatment
0.166203,1.0,treatment
0.166898,1.0,treatment
0.167594,1.0,treatment
0.168289,1.0,treatment
0.168985,1.0,treatment
0.16968,1.0,treatment
0.170376,1.0,treatment
0.171071,1.0,treatment
0.171766,1.0,treatment
0.172462,1.0,treatment
0.173157,1.0,treatment
0.173853,1.0,treatment
0.174548,1.0,treatment
0.175243,1.0,treatment
0.175939,1.0,treatment
0.176634,1.0,treatment
0.17733,1.0,treatment
0.178025,1.0,treatment
0.17872,1.0,treatment
0.179416,1.0,treatment
0.180111,1.0,treatment
0.180807,1.0,treatment
0.181502,1.0,treatment
0.182197,1.0,treatment
0.182893,1.0,treatment
0.183588,1.0,treatment
0.184284,1.0,treatment
0.184979,1.0,treatment
0.185675,1.0,treatment
0.18637,1.0,treatment
0.187065,1.0,treatment
0.187761,1.0,treatment
0.188456,1.0,treatment
0.189152,1.0,treatment
0.189847,1.0,treatment
0.190542,1.0,treatment
0.191238,1.0,treatment
0.191933,1.0,treatment
0.192629,1.0,treatment
0.193324,1.0,treatment
0.194019,1.0,treatment
0.194715,1.0,treatment
0.19541,1.0,treatment
0.196106,1.0,treatment
0.196801,1.0,treatment
0.197497,1.0,treatment
0.198192,1.0,treatment
0.198887,1.0,treatment
0.199583,1.0,treatment
0.200278,1.0,treatment
0.200974,1.0,treatment
0.201669,1.0,treatment
0.202364,1.0,treatment
0.20306,1.0,treatment
0.203755,1.0,treatment
0.204451,1.0,treatment
0.205146,1.0,treatment
0.205841,1.0,treatment
0.206537,1.0,treatment
0.207232,1.0,treatment
0.207928,1.0,treatment
0.208623,1.0,treatment
0.209318,1.0,treatment
0.210014,1.0,treatment
0.210709,1.0,treatment
0.211405,1.0,treatment
0.2121,1.0,treatment
0.212796,1.0,treatment
0.213491,1.0,treatment
0.214186,1.0,treatment
0.214882,1.0,treatment
0.215577,1.0,treatment
0.216273,1.0,treatment
0.216968,1.0,treatment
0.217663,1.0,treatment
0.218359,1.0,treatment
